Summary							
							
Sequence Details							
Name:		anion_multi_9.2_std			Created On:	26-okt-21 13:08:05	
105	CS_B ufort	8,237	11,273	26,512	30,459	10,75	 M 
106	CS_B ufort	8,237	11,176	26,289	30,196	10,71	 M 
107	Kontrol 25x	8,277	10,220	60,499	27,614	29,15	 M 
108	Kontrol 25x	8,277	10,236	60,556	27,658	29,16	 M 
109	Kontrol 2,5x	8,267	11,638	66,788	31,444	29,30	 M 
110	Kontrol 2,5x	8,267	11,593	66,644	31,322	29,29	 M 
111	CS_A 5x 26_10_2021	8,323	1,959	8,779	5,303	8,09	 M 
112	CS_A 5x	8,327	1,981	8,880	5,363	8,14	 M 
113	CS_A ufort	8,243	9,887	25,325	26,716	7,58	 M 
114	CS_A ufort	8,233	9,869	25,320	26,666	7,59	 M 
115	CS_B 5x 26_10_2021	8,343	1,427	7,430	3,866	3,76	 M 
116	CS_B 5x	8,337	1,433	7,453	3,884	3,77	 M 
117	CS_B ufort	8,267	6,838	24,519	18,482	3,69	 M 
118	CS_B ufort	8,267	6,788	24,386	18,347	3,68	 M 
119	JP 1 5x	8,350	1,426	8,073	3,863	28,23	 MB
120	JP 1 5x	8,347	1,518	8,540	4,113	28,35	 M 
121	JP 1 ufort	8,290	6,691	31,025	18,084	26,52	 M 
122	JP 1 ufort	8,277	8,032	35,317	21,706	26,87	 M 
123	JP 2 5x	8,343	2,262	13,834	6,123	51,99	 M 
124	JP 2 5x	8,347	2,257	13,817	6,109	52,08	 M 
125	JP 2 ufort	8,260	11,066	49,775	29,901	52,02	 M 
126	JP 2 ufort	8,257	11,055	49,744	29,871	52,02	 M 
127	JP 3 5x	8,347	2,023	12,194	5,478	46,30	 M 
128	JP 3 5x	8,343	2,022	12,152	5,472	46,09	 M 
129	JP 3 ufort	8,267	9,749	43,606	26,342	46,09	 M 
130	JP 3 ufort	8,270	9,559	43,281	25,831	45,71	 M 
131	JP 4 5x	8,353	0,985	4,222	2,674	18,00	 M 
132	JP 4 5x	8,350	0,986	4,232	2,677	18,03	 M 
133	JP 4 ufort	8,300	3,741	14,239	10,118	14,61	 M 
134	JP 4 ufort	8,307	3,748	14,196	10,136	14,64	 M 
135	JP 5 5x	8,343	2,075	12,506	5,618	34,64	 M 
136	JP 5 5x	8,340	2,073	12,459	5,611	34,71	 M 
137	JP 5 ufort	8,267	9,621	44,015	25,996	34,20	 M 
138	JP 5 ufort	8,270	9,657	44,132	26,094	34,15	 M 
139	JP 6 5x	8,350	1,790	10,921	4,848	33,21	 M 
140	JP 6 5x	8,343	1,793	10,882	4,856	33,34	 M 
141	JP 6 ufort	8,277	8,312	39,907	22,463	32,84	 M 
142	JP 6 ufort	8,280	8,250	39,728	22,293	32,72	 M 
143	JP 7 5x	8,357	0,939	5,167	2,548	23,37	 M 
144	JP 7 5x	8,350	0,953	5,242	2,588	23,46	 M 
145	JP 7 ufort	8,307	4,537	21,125	12,267	22,30	 M 
146	JP 7 ufort	8,303	4,549	21,136	12,299	22,30	 M 
147	JP 8 5x	8,350	1,196	6,701	3,244	22,09	 M 
148	JP 8 5x	8,353	1,203	6,729	3,261	22,09	 M 
149	JP 8 ufort	8,297	5,411	24,787	14,627	21,03	 M 
150	JP 8 ufort	8,300	5,330	24,505	14,408	20,91	 M 
151	Kontrol 25x	8,273	10,225	60,258	27,628	29,17	 M 
152	Kontrol 25x	8,270	10,276	60,467	27,765	29,20	 M 
153	Kontrol 2,5x	8,267	11,544	66,239	31,191	29,27	 M 
154	Kontrol 2,5x	8,263	11,612	66,583	31,375	29,32	 M 
155	JP 9 5x	8,340	2,276	13,921	6,161	47,80	 M 
156	JP 9 5x	8,343	2,276	13,922	6,160	47,94	 M 
157	JP 9 ufort	8,267	9,832	47,948	26,566	47,98	 M 
158	JP 9 ufort	8,267	9,794	47,772	26,465	47,94	 M 
159	JP 10 5x	8,337	2,021	12,248	5,472	45,69	 M 
160	JP 10 5x	8,340	2,016	12,240	5,457	45,76	 M 
161	JP 10 ufort	8,270	9,249	44,854	24,992	45,83	 M 
162	JP 10 ufort	8,270	9,239	44,825	24,964	45,84	 M 
163	JP 11 5x	8,353	0,996	5,012	2,702	19,91	 M 
164	JP 11 5x	8,350	0,992	4,997	2,692	20,02	 M 
165	JP 11 ufort	8,307	4,363	18,171	11,797	18,88	 M 
166	JP 11 ufort	8,300	4,355	18,183	11,774	18,82	 M 
167	JP 12 5x	8,350	0,748	3,354	2,034	12,93	 M 
168	JP 12 5x	8,353	0,741	3,324	2,014	12,91	 M 
169	JP 12 ufort	8,313	3,198	12,248	8,649	11,78	 M 
170	JP 12 ufort	8,310	3,174	12,157	8,584	11,75	 M 
171	JP 13 5x	8,347	1,225	6,757	3,321	24,72	 M 
172	JP 13 5x	8,353	1,217	6,758	3,298	24,48	 M 
173	JP 13 ufort	8,287	5,657	24,886	15,290	23,49	 M 
174	JP 13 ufort	8,297	5,666	24,926	15,315	23,49	 M 
175	JP 14 5x	8,353	1,399	8,254	3,791	29,10	 M 
176	JP 14 5x	8,343	1,402	8,252	3,799	29,17	 M 
177	JP 14 ufort	8,290	6,659	31,421	17,997	28,36	 M 
178	JP 14 ufort	8,287	6,627	31,347	17,912	28,44	 M 
179	Kontrol 25x	8,277	10,251	60,583	27,699	29,20	 M 
180	Kontrol 25x	8,277	10,212	60,416	27,595	29,17	 M 
181	Kontrol 2,5x	8,263	11,540	66,355	31,181	29,29	 M 
182	Kontrol 2,5x	8,263	11,576	66,502	31,278	29,35	 M 
183	Vand	8,227	0,087	0,158	0,248	69,89	 MB
184	Vand	8,217	0,084	0,157	0,239	72,38	 M 
