Summary							
							
Sequence Details							
Name:		cat_multi_salt_10_10.5_std_ufort			Created On:	02-nov-21 14:26:59	
53	F 5,5 ufort	3,307	132,971	655,796	604,235	95,50	 M *
54	F 5,5 ufort	3,307	132,737	654,934	603,168	95,73	 M 
55	P 5,5 5x	3,070	7,434	75,670	33,725	97,09	 M 
56	P 5,5 5x	3,070	7,356	75,038	33,370	97,49	 M 
57	P 5,5 ufort	3,147	36,484	297,680	165,744	97,08	BM 
58	P 5,5 ufort	3,153	36,996	300,606	168,070	97,34	BM 
59	F 6  5x	3,137	29,708	255,559	134,948	95,19	BM 
60	F 6 5x	3,137	29,571	254,595	134,327	94,82	BM 
61	F 6 ufort	3,317	140,209	673,780	637,125	96,00	 M 
62	F 6 ufort	3,313	144,013	682,594	654,414	96,02	 M *
63	Kontrol 200x	3,043	0,270	2,799	1,164	10,01	 M 
64	Kontrol 200x	3,037	0,235	2,434	1,005	9,08	 M 
65	Kontrol 20x	3,023	2,207	21,717	9,968	9,02	 M 
66	Kontrol 20x	3,033	2,195	21,484	9,912	9,06	 M 
67	P 6 5x	3,067	7,917	80,785	35,919	99,22	 M 
68	P 6 5x	3,067	7,925	80,698	35,955	99,37	 M 
69	P 6 ufort	3,153	39,599	314,553	179,900	97,83	BM 
70	P 6 ufort	3,153	39,184	312,282	178,010	97,87	BM 
71	F 6,5 5x	3,150	34,210	283,496	155,408	95,44	BM 
72	F 6,5 5x	3,147	34,131	282,852	155,050	95,14	BM 
73	F 6,5 ufort	3,343	167,998	738,798	763,417	96,23	 M 
74	F 6,5 ufort	3,350	167,892	738,239	762,936	96,34	 M 
75	P 6,5 5x	3,070	8,852	89,596	40,166	96,89	 M 
76	P 6,5 5x	3,077	8,756	88,653	39,731	97,48	 M 
77	P 6,5 ufort	3,160	43,718	338,092	198,620	95,47	BM *
78	P 6,5 ufort	3,163	43,805	339,211	199,015	97,42	BM *
79	F 0 5x Stu_25_10_2021 pH 10,5	3,103	16,954	162,684	76,988	99,15	 M 
80	F 0 5x	3,103	16,899	161,977	76,739	98,87	 M 
81	F 0 ufort	3,230	81,397	499,559	369,852	97,79	 M *
82	F 0 ufort	3,230	81,452	500,419	370,103	97,73	 M *
83	2,5 F 5x	3,110	21,420	198,042	97,283	98,91	 M 
84	2,5 F 5x	3,110	21,182	196,500	96,200	98,42	 M 
85	2,5 F ufort	3,260	101,857	567,891	462,832	97,58	 M *
86	2,5 F ufort	3,263	101,994	568,261	463,456	97,93	 M *
87	2,5 P 5x	3,060	4,882	49,877	22,124	99,11	 M 
88	2,5 P 5x	3,060	4,808	49,123	21,788	98,67	 M 
89	2,5 P ufort	3,117	23,644	214,105	107,389	98,32	BM 
90	2,5 P ufort	3,113	23,406	212,534	106,309	98,32	 M 
91	F 4 5x	3,120	24,791	222,791	112,605	98,16	 M 
92	F 4 5x	3,120	24,582	220,807	111,651	97,88	 M 
93	F 4 ufort	3,287	118,892	617,615	540,251	97,75	 M *
94	F 4 ufort	3,290	119,381	619,365	542,471	97,96	BM *
95	P 4 5x	3,057	5,599	57,122	25,381	99,10	 M 
96	P 4 5x	3,063	5,455	55,665	24,727	98,73	 M 
97	P 4 ufort	3,123	26,867	236,587	122,037	98,28	BM 
98	P 4 ufort	3,123	26,558	234,551	120,631	98,22	 M 
99	F 5 5x	3,127	27,505	241,608	124,935	98,15	 M 
100	F 5 5x	3,127	27,417	240,713	124,536	97,81	 M 
101	F 5 ufort	3,307	133,521	655,967	606,732	98,19	 M 
102	F 5 ufort	3,303	133,645	657,905	607,295	98,03	 M *
103	P 5 5x	3,067	6,152	62,730	27,898	99,13	BM 
104	P 5 5x	3,067	6,038	61,434	27,378	98,86	 M 
105	P 5 ufort	3,130	29,503	254,144	134,015	98,29	BM 
106	P 5 ufort	3,130	29,508	254,009	134,038	98,28	BM 
107	Kontrol 200x	3,037	0,262	2,700	1,127	10,05	 M 
108	Kontrol 200x	3,043	0,278	2,870	1,201	9,98	 M 
109	Kontrol 20x	3,027	2,134	20,864	9,639	9,04	 M 
110	Kontrol 20x	3,027	2,157	21,038	9,741	9,04	 M 
111	F 6  5x	3,143	31,686	268,163	143,939	98,70	BM 
112	F 6 5x	3,143	31,366	266,107	142,482	98,26	BM 
113	F 6 ufort	3,330	155,367	710,696	706,013	98,30	 M 
114	F 6 ufort	3,337	155,330	709,622	705,843	98,44	 M 
115	P 6 5x	3,063	6,821	69,255	30,939	99,28	BM 
116	P 6 5x	3,067	6,692	67,993	30,351	99,02	 M 
117	P 6 ufort	3,143	32,741	274,410	148,732	98,29	BM 
118	P 6 ufort	3,143	32,420	272,390	147,273	98,20	BM 
119	F 7 5x	3,157	37,413	302,560	169,965	97,83	BM 
120	F 7 5x	3,157	37,620	303,404	170,906	97,67	BM 
121	F 7 ufort	3,370	184,784	775,839	839,699	98,35	 M 
122	F 7 ufort	3,370	184,032	774,242	836,283	98,48	 M 
123	P 7 5x	3,073	7,632	77,278	34,621	99,24	 M 
124	P 7 5x	3,067	7,414	75,198	33,630	98,97	 M 
125	P 7 ufort	3,147	36,684	297,844	166,652	98,27	BM 
126	P 7 ufort	3,153	36,858	298,841	167,441	98,24	BM 
127	F 8 5x	3,180	48,512	361,390	220,405	97,67	BM *
128	F 8 5x	3,180	48,291	360,368	219,401	97,66	BM *
129	F 8 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
130	F 8 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
131	P 8 5x	3,070	8,898	89,643	40,378	99,37	 M 
132	P 8 5x	3,123	9,008	88,480	40,875	99,07	 M 
133	P 8 ufort	3,167	43,052	334,559	195,589	97,57	BM *
134	P 8 ufort	3,167	43,024	334,491	195,464	97,45	BM *
135	CS_Reservoir_A_02_11_2021 5x	3,080	12,173	120,337	55,259	90,60	 M 
136	CS_Reservoir_A  5x	3,087	12,131	120,013	55,067	90,62	 M 
137	CS_Reservoir_A ufort	3,187	60,087	412,789	273,008	90,10	BM *
138	CS_Reservoir_A ufort	3,187	60,099	413,124	273,062	90,31	BM *
139	CS_Reservoir_B 5x	3,087	12,365	122,140	56,130	95,16	 M 
140	CS_Reservoir_B 5x	3,087	12,244	121,147	55,582	94,87	 M 
141	CS_Reservoir_B ufort	3,193	61,142	417,833	277,802	93,97	BM *
142	CS_Reservoir_B ufort	3,193	60,876	416,651	276,593	94,18	BM *
143	1F NF_CS 02_11_2021 20x	3,053	3,056	31,114	13,825	95,50	BM 
144	1F 20x	3,047	2,957	30,209	13,378	95,22	 MB
145	1F 5x	3,080	11,918	118,123	54,099	94,66	 M 
146	1F 5x	3,077	11,827	117,244	53,685	94,65	 M 
147	2F 20x	3,053	3,153	32,232	14,268	95,14	 M 
148	2F 20x	3,047	3,112	31,836	14,083	95,08	 MB
149	2F 5x	3,087	12,450	122,840	56,518	94,59	BM 
150	2F 5x	3,087	12,544	123,719	56,947	94,72	 M 
151	3C 20x	3,050	3,214	32,827	14,544	95,28	 MB
152	3C 20x	3,047	3,171	32,448	14,351	95,15	 MB
153	3C 5x	3,083	12,831	126,429	58,250	94,52	BM 
154	3C 5x	3,087	12,830	126,409	58,245	94,60	 M 
155	Kontrol 200x	3,040	0,255	2,633	1,098	9,66	 M 
156	Kontrol 200x	3,037	0,246	2,547	1,058	9,41	 M 
157	Kontrol 20x	3,033	2,310	22,488	10,438	9,21	 M 
158	Kontrol 20x	3,033	2,327	22,614	10,511	9,20	 M 
159	4P 5x	3,077	9,980	100,016	45,293	96,27	 M 
160	4P 5x	3,073	9,983	100,092	45,306	96,07	 M 
161	4P ufort	3,167	49,959	366,950	226,979	94,66	BM *
162	4P ufort	3,173	49,569	364,773	225,209	94,82	BM *
163	5F 20x	3,057	3,453	35,130	15,631	95,92	 M 
164	5F 20x	3,050	3,369	34,391	15,248	95,54	 MB
165	5F 5x	3,087	13,490	132,322	61,246	94,39	 M 
166	5F 5x	3,083	13,523	132,421	61,395	94,44	 M 
167	6C 20x	3,050	3,520	35,963	15,934	95,10	 M 
168	6C 20x	3,057	3,482	35,614	15,761	95,00	 MB
169	6C 5x	3,090	13,899	135,892	63,102	94,31	BM 
170	6C 5x	3,083	14,000	136,678	63,562	94,43	 M 
171	7P 5x	3,070	9,928	99,462	45,057	95,33	 M 
172	7P 5x	3,073	9,855	98,775	44,723	95,43	 M 
173	7P ufort	3,103	17,318	235,139	78,641	34,06	BM 
174	7P ufort	3,100	16,193	232,865	73,527	31,80	BM 
175	8F 20x	3,057	3,919	39,875	17,746	95,28	 M 
176	8F 20x	3,057	3,839	39,170	17,383	95,16	 MB
177	8F 5x	3,097	15,264	147,749	69,308	93,97	 M 
178	8F 5x	3,097	15,352	148,438	69,708	93,99	 M 
179	9C 20x	3,053	3,833	39,078	17,358	94,68	 M 
180	9C 20x	3,053	3,796	38,762	17,189	94,82	 MB
181	9C 5x	3,093	15,843	152,090	71,938	93,80	BM 
182	9C 5x	3,097	15,855	152,605	71,991	93,94	 M 
183	10P 5x	3,077	11,017	109,616	50,004	95,06	 M 
184	10P 5x	3,073	10,983	109,233	49,850	95,29	 M 
185	10P ufort	3,100	16,307	233,855	74,048	29,23	BM 
186	10P ufort	3,107	16,410	234,770	74,515	29,38	BM 
187	N3 reservoir 02-11-2021 5x	3,070	9,270	93,109	42,066	94,59	 M 
188	N3 reservoir 02-11-2021 5x	3,077	9,191	92,399	41,709	93,40	 M 
189	N3 reservoir 02-11-2021 ufort	3,173	45,080	343,783	204,809	92,96	BM *
190	N3 reservoir 02-11-2021 ufort	3,167	45,356	345,467	206,062	93,07	BM *
191	Kontrol 200x	3,040	0,256	2,641	1,104	9,51	 M 
192	Kontrol 200x	3,037	0,247	2,546	1,063	9,42	 M 
193	Kontrol 20x	3,027	2,309	22,356	10,431	9,25	 M 
194	Kontrol 20x	3,030	2,339	22,617	10,567	9,26	 M 
195	Vand	3,037	0,015	0,161	0,007	81,69	BM 
196	Vand	3,043	0,013	0,142	n.a.	90,22	BMB
