Summary							
							
Sequence Details							
Name:		cat_multi_salt_10_10.5_std_ufort			Created On:	02-nov-21 14:26:59	
53	F 5,5 ufort	9,327	4,052	10,779	15,869	2,91	 M 
54	F 5,5 ufort	9,323	4,006	10,709	15,690	2,89	 M 
55	P 5,5 5x	9,417	0,173	0,485	0,942	2,26	BMB
56	P 5,5 5x	9,417	0,155	0,436	0,873	2,05	BMB
57	P 5,5 ufort	9,397	0,595	1,630	2,565	1,58	 M 
58	P 5,5 ufort	9,403	0,528	1,459	2,310	1,39	 M 
59	F 6  5x	9,380	1,235	3,384	5,030	3,96	BM 
60	F 6 5x	9,377	1,357	3,709	5,498	4,35	BM 
61	F 6 ufort	9,317	4,362	11,587	17,061	2,99	 M 
62	F 6 ufort	9,310	4,437	11,812	17,351	2,96	 M 
63	Kontrol 200x	9,373	1,277	3,485	5,190	47,37	 MB
64	Kontrol 200x	9,367	1,213	3,328	4,943	46,90	 MB
65	Kontrol 20x	9,107	12,513	29,882	48,420	51,16	 M 
66	Kontrol 20x	9,137	12,344	29,596	47,772	50,97	 M 
67	P 6 5x	9,417	0,009	0,025	0,312	0,11	BMB
68	P 6 5x	9,413	0,023	0,064	0,365	0,29	BMB
69	P 6 ufort	9,400	0,393	1,061	1,791	0,97	 M 
70	P 6 ufort	9,397	0,475	1,312	2,104	1,19	 M 
71	F 6,5 5x	9,377	1,312	3,590	5,325	3,66	BM 
72	F 6,5 5x	9,373	1,437	3,925	5,805	4,00	BM 
73	F 6,5 ufort	9,303	4,855	12,838	18,958	2,78	 M 
74	F 6,5 ufort	9,307	4,827	12,794	18,850	2,77	 M 
75	P 6,5 5x	9,400	0,229	0,640	1,158	2,51	BMB
76	P 6,5 5x	9,407	0,186	0,524	0,994	2,07	BMB
77	P 6,5 ufort	9,440	0,015	0,137	0,335	0,03	 M 
78	P 6,5 ufort	9,390	0,591	1,631	2,551	1,31	 M 
79	F 0 5x Stu_25_10_2021 pH 10,5	9,413	0,087	0,249	0,611	0,51	BMB
80	F 0 5x	9,410	0,132	0,371	0,784	0,77	BMB
81	F 0 ufort	9,387	0,910	2,455	3,780	1,09	 M 
82	F 0 ufort	9,390	0,852	2,329	3,555	1,02	 M 
83	2,5 F 5x	9,407	0,147	0,416	0,843	0,68	BMB
84	2,5 F 5x	9,403	0,250	0,702	1,239	1,16	BMB
85	2,5 F ufort	9,383	1,192	3,216	4,862	1,14	 M 
86	2,5 F ufort	9,387	1,123	3,068	4,597	1,08	 M 
87	2,5 P 5x	9,417	0,025	0,072	0,374	0,51	BMB
88	2,5 P 5x	9,417	0,053	0,151	0,480	1,08	BMB
89	2,5 P ufort	9,403	0,271	0,759	1,320	1,13	 MB
90	2,5 P ufort	9,403	0,261	0,736	1,283	1,10	 M 
91	F 4 5x	9,403	0,314	0,880	1,485	1,24	BM 
92	F 4 5x	9,400	0,391	1,087	1,780	1,56	BMB
93	F 4 ufort	9,387	1,306	3,520	5,302	1,07	 M 
94	F 4 ufort	9,393	1,252	3,419	5,095	1,03	 M 
95	P 4 5x	9,413	0,027	0,078	0,382	0,48	BMB
96	P 4 5x	9,420	0,053	0,153	0,482	0,96	BMB
97	P 4 ufort	9,403	0,291	0,819	1,398	1,07	BM 
98	P 4 ufort	9,403	0,297	0,843	1,421	1,10	BMB
99	F 5 5x	9,403	0,342	0,955	1,593	1,22	BMB
100	F 5 5x	9,400	0,444	1,231	1,985	1,58	BMB
101	F 5 ufort	9,387	1,372	3,691	5,555	1,01	 M 
102	F 5 ufort	9,390	1,310	3,572	5,319	0,96	 M 
103	P 5 5x	9,420	0,029	0,084	0,391	0,47	BMB
104	P 5 5x	9,420	0,058	0,167	0,500	0,95	BMB
105	P 5 ufort	9,403	0,324	0,908	1,522	1,08	BM 
106	P 5 ufort	9,403	0,320	0,896	1,507	1,06	BM 
107	Kontrol 200x	9,403	1,221	3,335	4,974	46,89	 M 
108	Kontrol 200x	9,377	1,295	3,566	5,259	46,53	 MB
109	Kontrol 20x	9,137	12,052	29,003	46,647	51,03	 M 
110	Kontrol 20x	9,133	12,172	29,248	47,111	50,99	 M 
111	F 6  5x	9,420	0,158	0,421	0,887	0,49	 MB
112	F 6 5x	9,413	0,369	1,029	1,698	1,16	BMB
113	F 6 ufort	9,393	1,446	3,892	5,841	0,91	 M 
114	F 6 ufort	9,400	1,410	3,842	5,703	0,89	 M 
115	P 6 5x	9,417	0,023	0,065	0,365	0,33	BMB
116	P 6 5x	9,423	0,047	0,134	0,456	0,69	BMB
117	P 6 ufort	9,413	0,332	0,939	1,555	1,00	BMB
118	P 6 ufort	9,410	0,348	0,974	1,617	1,05	 M 
119	F 7 5x	9,407	0,551	1,525	2,399	1,44	 M 
120	F 7 5x	9,407	0,645	1,783	2,760	1,68	BM 
121	F 7 ufort	9,400	1,652	4,443	6,632	0,88	 M 
122	F 7 ufort	9,400	1,589	4,319	6,390	0,85	 M 
123	P 7 5x	9,423	0,029	0,083	0,388	0,38	BMB
124	P 7 5x	9,420	0,056	0,161	0,493	0,75	BMB
125	P 7 ufort	9,407	0,371	1,027	1,703	0,99	 M 
126	P 7 ufort	9,413	0,378	1,053	1,733	1,01	 M 
127	F 8 5x	9,407	0,707	1,938	2,998	1,42	 M 
128	F 8 5x	9,403	0,756	2,081	3,187	1,53	 M 
129	F 8 ufort	9,397	1,978	5,319	7,888	0,82	 M 
130	F 8 ufort	9,400	1,942	5,281	7,749	0,80	 M 
131	P 8 5x	9,420	0,023	0,065	0,365	0,25	BMB
132	P 8 5x	9,203	0,046	0,134	0,453	0,50	BMB
133	P 8 ufort	9,410	0,420	1,153	1,893	0,95	 M 
134	P 8 ufort	9,410	0,441	1,219	1,972	1,00	 M 
135	CS_Reservoir_A_02_11_2021 5x	9,410	0,198	0,561	1,037	1,47	BMB
136	CS_Reservoir_A  5x	9,417	0,186	0,529	0,994	1,39	 MB
137	CS_Reservoir_A ufort	9,393	0,770	2,058	3,241	1,15	 M 
138	CS_Reservoir_A ufort	9,390	0,736	1,998	3,107	1,11	 M 
139	CS_Reservoir_B 5x	9,420	0,104	0,302	0,679	0,80	BMB
140	CS_Reservoir_B 5x	9,420	0,139	0,399	0,813	1,08	 MB
141	CS_Reservoir_B ufort	9,397	0,790	2,125	3,319	1,21	 M 
142	CS_Reservoir_B ufort	9,400	0,764	2,081	3,216	1,18	 M 
143	1F NF_CS 02_11_2021 20x	9,423	0,035	0,101	0,412	1,10	BMB
144	1F 20x	9,417	0,041	0,116	0,435	1,32	 MB
145	1F 5x	9,413	0,158	0,448	0,885	1,26	 MB
146	1F 5x	9,413	0,153	0,425	0,864	1,22	 MB
147	2F 20x	9,423	0,045	0,119	0,450	1,35	 MB
148	2F 20x	9,417	0,045	0,116	0,449	1,37	 MB
149	2F 5x	9,417	0,158	0,440	0,886	1,20	 MB
150	2F 5x	9,423	0,152	0,431	0,862	1,15	 MB
151	3C 20x	9,413	0,040	0,106	0,432	1,19	 MB
152	3C 20x	9,413	0,041	0,104	0,435	1,23	 MB
153	3C 5x	9,410	0,160	0,452	0,891	1,18	 MB
154	3C 5x	9,413	0,163	0,454	0,904	1,20	 MB
155	Kontrol 200x	9,373	1,224	3,366	4,988	46,36	 MB
156	Kontrol 200x	9,370	1,217	3,358	4,962	46,48	 MB
157	Kontrol 20x	9,130	12,811	30,491	49,570	51,08	 M 
158	Kontrol 20x	9,307	4,472	20,878	17,484	17,68	 M 
159	4P 5x	9,423	0,021	0,059	0,357	0,20	BMB
160	4P 5x	9,417	0,040	0,115	0,432	0,39	BMB
161	4P ufort	9,400	0,457	1,222	2,037	0,87	 MB
162	4P ufort	9,407	0,472	1,298	2,094	0,90	 M 
163	5F 20x	9,423	0,032	0,091	0,400	0,89	BMB
164	5F 20x	9,417	0,041	0,117	0,435	1,16	BMB
165	5F 5x	9,410	0,199	0,554	1,041	1,39	 MB
166	5F 5x	9,407	0,191	0,533	1,012	1,33	 MB
167	6C 20x	9,413	0,048	0,132	0,460	1,29	 MB
168	6C 20x	9,420	0,048	0,125	0,462	1,31	 MB
169	6C 5x	9,413	0,194	0,539	1,023	1,32	 MB
170	6C 5x	9,407	0,190	0,530	1,009	1,28	 MB
171	7P 5x	9,413	0,100	0,279	0,662	0,96	 MB
172	7P 5x	9,413	0,095	0,261	0,641	0,92	 MB
173	7P ufort	9,400	0,468	1,256	2,077	0,92	 M 
174	7P ufort	9,400	0,465	1,278	2,067	0,91	 M 
175	8F 20x	9,420	0,046	0,130	0,453	1,11	BMB
176	8F 20x	9,420	0,053	0,151	0,481	1,31	BMB
177	8F 5x	9,413	0,254	0,704	1,253	1,56	 MB
178	8F 5x	9,413	0,252	0,700	1,247	1,54	 MB
179	9C 20x	9,417	0,061	0,169	0,510	1,50	 MB
180	9C 20x	9,420	0,056	0,159	0,494	1,41	BM 
181	9C 5x	9,420	0,264	0,732	1,292	1,56	 MB
182	9C 5x	9,413	0,258	0,718	1,271	1,53	 MB
183	10P 5x	9,413	0,119	0,332	0,734	1,03	 MB
184	10P 5x	9,413	0,105	0,299	0,682	0,91	 MB
185	10P ufort	9,400	0,540	1,445	2,354	0,97	 M 
186	10P ufort	9,407	0,537	1,471	2,344	0,96	 M 
187	N3 reservoir 02-11-2021 5x	9,407	0,351	0,977	1,627	3,58	 MB
188	N3 reservoir 02-11-2021 5x	9,407	0,484	1,336	2,138	4,92	 MB
189	N3 reservoir 02-11-2021 ufort	9,363	2,414	6,527	9,564	4,98	 M 
190	N3 reservoir 02-11-2021 ufort	9,347	2,460	6,655	9,742	5,05	BM 
191	Kontrol 200x	9,373	1,275	3,490	5,184	47,27	 MB
192	Kontrol 200x	9,373	1,222	3,357	4,978	46,49	 MB
193	Kontrol 20x	9,130	12,729	30,370	49,252	51,01	 M 
194	Kontrol 20x	9,127	12,863	30,636	49,771	50,95	 M 
195	Vand	9,420	0,002	0,005	0,284	9,92	BMB
196	Vand	9,420	0,001	0,003	0,281	6,38	BMB
