Summary							
							
Sequence Details							
Name:		anion_multi_10_10_5_std			Created On:	02-nov-21 13:48:59	
116	P 6 5x	8,337	0,458	1,145	1,224	2,87	 MB
117	P 6 ufort	8,283	0,996	2,831	2,656	1,36	 M 
118	P 6 ufort	8,280	0,997	2,826	2,657	1,36	 M 
119	F 7 5x	8,200	15,867	56,719	42,258	55,82	 M 
120	F 7 5x	8,203	15,880	56,798	42,294	55,85	 M 
121	F 7 ufort	8,237	0,030	0,369	0,084	0,02	Rd
122	F 7 ufort	8,233	0,033	0,384	0,090	0,02	Rd
123	P 7 5x	8,303	0,418	1,449	1,117	2,57	 M 
124	P 7 5x	8,247	0,513	1,423	1,368	3,15	 MB
125	P 7 ufort	8,277	1,266	3,304	3,373	1,62	 M 
126	P 7 ufort	8,277	1,272	3,306	3,389	1,62	 M 
127	F 8 5x	8,170	21,439	68,332	57,097	64,72	 M 
128	F 8 5x	8,167	21,692	68,299	57,769	65,88	 M 
129	F 8 ufort	8,227	11,845	67,816	31,548	7,44	 M 
130	F 8 ufort	8,250	9,516	61,368	25,346	6,01	 M 
131	P 8 5x	8,307	0,665	1,838	1,773	3,93	 MB
132	P 8 5x	8,307	0,522	1,766	1,394	3,13	 M 
133	P 8 ufort	8,270	1,826	4,197	4,866	2,27	 M 
134	P 8 ufort	8,267	1,837	4,218	4,896	2,26	 M 
135	CS_Reservoir_A_02_11_2021 5x	8,310	1,935	9,522	5,157	6,34	 M 
136	CS_Reservoir_A  5x	8,317	1,933	9,518	5,151	6,34	 M 
137	CS_Reservoir_A ufort	8,227	9,576	27,391	25,504	6,37	 M 
138	CS_Reservoir_A ufort	8,220	9,649	27,478	25,699	6,35	 M 
139	CS_Reservoir_B 5x	8,313	1,312	5,404	3,496	4,16	 MB
140	CS_Reservoir_B 5x	8,320	1,313	5,367	3,499	4,16	 MB
141	CS_Reservoir_B ufort	8,240	5,759	15,842	15,341	3,72	 M 
142	CS_Reservoir_B ufort	8,240	5,833	15,857	15,537	3,74	 M 
143	1F NF_CS 02_11_2021 20x	8,337	0,407	1,493	1,086	5,27	 MB
144	1F 20x	8,337	0,399	1,473	1,065	5,25	 MB
145	1F 5x	8,317	1,274	5,083	3,397	4,17	 M 
146	1F 5x	8,317	1,243	5,087	3,312	4,07	 MB
147	2F 20x	8,337	0,410	1,617	1,095	5,24	 MB
148	2F 20x	8,340	0,381	1,615	1,018	4,88	 M 
149	2F 5x	8,320	1,359	5,582	3,622	4,30	 MB
150	2F 5x	8,320	1,359	5,581	3,622	4,30	 MB
151	3C 20x	8,337	0,415	1,778	1,108	5,25	 M 
152	3C 20x	8,337	0,423	1,775	1,128	5,36	 M 
153	3C 5x	8,317	1,470	6,111	3,919	4,64	 MB
154	3C 5x	8,317	1,399	6,123	3,729	4,41	 M 
155	Kontrol 25x	8,323	2,284	15,793	6,085	29,42	 M 
156	Kontrol 25x	8,323	2,275	15,753	6,060	29,41	 M 
157	Kontrol 2,5x	8,173	22,532	108,671	60,007	29,07	 M 
158	Kontrol 2,5x	8,173	22,412	108,262	59,689	29,00	 M 
159	4P 5x	8,330	0,332	0,957	0,886	1,11	 M 
160	4P 5x	8,323	0,331	0,943	0,886	1,11	 M 
161	4P ufort	8,277	1,097	2,437	2,925	0,74	 M 
162	4P ufort	8,277	1,113	2,448	2,967	0,74	 M 
163	5F 20x	8,337	0,491	2,089	1,312	6,07	 MB
164	5F 20x	8,340	0,512	2,093	1,367	6,35	 M 
165	5F 5x	8,313	1,600	7,124	4,264	4,95	 M 
166	5F 5x	8,310	1,598	7,088	4,258	4,98	 M 
167	6C 20x	8,333	0,556	2,325	1,483	6,83	 M 
168	6C 20x	8,337	0,524	2,303	1,398	6,52	 MB
169	6C 5x	8,310	1,753	7,819	4,671	5,44	 M 
170	6C 5x	8,310	1,763	7,873	4,697	5,45	 M 
171	7P 5x	8,323	0,389	0,851	1,040	1,39	 MB
172	7P 5x	8,317	0,331	0,972	0,884	1,13	 M 
173	7P ufort	8,273	0,972	2,225	2,593	0,69	 M 
174	7P ufort	8,277	1,008	2,301	2,687	0,68	 M 
175	8F 20x	8,333	0,721	3,272	1,923	8,58	 M 
176	8F 20x	8,330	0,712	3,225	1,899	8,59	 M 
177	8F 5x	8,297	2,372	10,660	6,321	7,23	 M 
178	8F 5x	8,300	2,378	10,685	6,335	7,24	 M 
179	9C 20x	8,333	0,669	3,185	1,783	9,30	 M 
180	9C 20x	8,333	0,748	3,600	1,995	9,31	 M 
181	9C 5x	8,293	2,678	11,991	7,136	8,10	 M 
182	9C 5x	8,293	2,675	11,972	7,127	8,07	 M 
183	10P 5x	8,313	0,479	1,053	1,278	1,52	 M 
184	10P 5x	8,320	0,485	1,052	1,294	1,54	 MB
185	10P ufort	8,060	2,294	3,527	6,113	1,60	 M 
186	10P ufort	8,057	2,445	3,571	6,513	1,70	 M 
187	N3 reservoir 02-11-2021 5x	8,283	4,487	23,873	11,952	35,84	 M 
188	N3 reservoir 02-11-2021 5x	8,290	4,730	24,974	12,600	35,98	 M 
189	N3 reservoir 02-11-2021 ufort	8,160	22,999	73,117	61,250	34,94	 M *
190	N3 reservoir 02-11-2021 ufort	8,167	22,992	73,164	61,231	34,96	 M *
191	Kontrol 25x	8,317	2,296	15,886	6,117	29,42	 M 
192	Kontrol 25x	8,327	2,230	15,835	5,942	28,64	 M 
193	Kontrol 2,5x	8,173	22,507	108,530	59,939	28,99	 M 
194	Kontrol 2,5x	8,170	22,482	108,490	59,874	29,00	 M *
195	Vand	8,347	0,097	0,135	0,260	48,34	 MB
196	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
