Summary							
							
Sequence Details							
Name:		anion_multi_9.2_std			Created On:	26-okt-21 13:08:05	
91	CS_A 5x 12_10_2021	5,330	4,713	39,636	9,269	26,35	 M 
92	CS_A 5x	5,330	5,290	44,395	10,416	26,87	 M 
93	CS_A ufort	5,333	25,558	197,427	50,695	27,40	 M 
94	CS_A ufort	5,330	25,721	197,780	51,020	27,41	 M *
95	CS_B 5x 12_10_2021	5,333	5,137	43,240	10,111	12,44	 M 
96	CS_B 5x	5,333	5,107	42,977	10,051	12,42	 M 
97	CS_B ufort	5,333	25,282	197,792	50,148	12,63	 M 
98	CS_B ufort	5,327	25,327	197,965	50,237	12,64	 M 
99	CS_A 5x 19_10_2021	5,333	5,342	44,676	10,519	40,88	 M 
100	CS_A 5x	5,327	5,316	44,594	10,467	41,17	 M 
101	CS_A ufort	5,337	27,037	205,065	53,635	44,37	 M *
102	CS_A ufort	5,337	26,995	205,052	53,551	44,33	 M *
103	CS_B 5x 19_10_2021	5,327	6,113	51,294	12,052	28,39	 M 
104	CS_B 5x	5,327	6,129	51,186	12,082	28,47	 M 
105	CS_B ufort	5,333	31,037	235,902	61,584	29,61	 M 
106	CS_B ufort	5,333	30,881	235,183	61,275	29,59	 M 
107	Kontrol 25x	5,323	2,710	22,917	5,289	7,73	 M 
108	Kontrol 25x	5,323	2,714	22,961	5,297	7,73	 M 
109	Kontrol 2,5x	5,323	3,089	26,145	6,041	7,78	 M 
110	Kontrol 2,5x	5,323	3,077	26,041	6,017	7,77	 M 
111	CS_A 5x 26_10_2021	5,320	4,598	38,697	9,041	18,98	 M 
112	CS_A 5x	5,327	4,618	38,843	9,081	18,98	 M 
113	CS_A ufort	5,333	25,561	197,434	50,702	19,61	 M 
114	CS_A ufort	5,327	25,504	197,019	50,587	19,60	 M 
115	CS_B 5x 26_10_2021	5,330	5,243	43,676	10,322	13,82	 M 
116	CS_B 5x	5,327	5,250	43,724	10,336	13,81	 M 
117	CS_B ufort	5,333	26,198	201,913	51,967	14,14	 M 
118	CS_B ufort	5,333	26,067	201,000	51,706	14,15	 M 
119	JP 1 5x	5,327	2,941	24,980	5,748	58,23	 M 
120	JP 1 5x	5,327	3,116	26,433	6,095	58,19	 M 
121	JP 1 ufort	5,337	15,345	127,796	30,400	60,81	 M 
122	JP 1 ufort	5,337	18,119	149,662	35,911	60,61	 M 
123	JP 2 5x	5,323	1,251	10,589	2,388	28,74	 M 
124	JP 2 5x	5,327	1,247	10,577	2,382	28,78	 M 
125	JP 2 ufort	5,330	6,507	53,567	12,835	30,59	 M 
126	JP 2 ufort	5,327	6,497	53,453	12,815	30,57	 M 
127	JP 3 5x	5,327	1,507	12,782	2,898	34,48	 M 
128	JP 3 5x	5,323	1,507	12,783	2,898	34,36	 M 
129	JP 3 ufort	5,327	7,774	64,055	15,352	36,75	 M 
130	JP 3 ufort	5,333	7,710	63,502	15,225	36,87	 M 
131	JP 4 5x	5,330	3,179	26,621	6,221	58,07	 M 
132	JP 4 5x	5,327	3,181	26,660	6,224	58,15	 M 
133	JP 4 ufort	5,333	15,728	129,577	31,160	61,43	 M 
134	JP 4 ufort	5,340	15,742	129,755	31,188	61,48	 M 
135	JP 5 5x	5,327	3,000	25,134	5,865	50,07	 M 
136	JP 5 5x	5,327	2,995	25,094	5,855	50,15	 M 
137	JP 5 ufort	5,337	14,553	120,194	28,824	51,73	 M 
138	JP 5 ufort	5,337	14,639	120,888	28,996	51,77	 M 
139	JP 6 5x	5,330	2,784	23,498	5,436	51,65	 M 
140	JP 6 5x	5,323	2,781	23,465	5,430	51,71	 M 
141	JP 6 ufort	5,330	13,558	112,461	26,847	53,57	 M 
142	JP 6 ufort	5,337	13,530	112,362	26,792	53,67	 M 
143	JP 7 5x	5,330	2,358	19,920	4,590	58,71	 M 
144	JP 7 5x	5,327	2,370	20,147	4,613	58,31	 M 
145	JP 7 ufort	5,337	12,639	105,186	25,021	62,12	 M 
146	JP 7 ufort	5,330	12,559	104,470	24,862	61,58	 M 
147	JP 8 5x	5,327	3,410	28,714	6,681	62,97	 M 
148	JP 8 5x	5,327	3,428	28,880	6,715	62,95	 M 
149	JP 8 ufort	5,333	16,667	137,577	33,026	64,78	 M 
150	JP 8 ufort	5,333	16,570	136,412	32,832	65,01	 M 
151	Kontrol 25x	5,323	2,710	22,805	5,288	7,73	 M 
152	Kontrol 25x	5,320	2,712	22,846	5,292	7,71	 M 
153	Kontrol 2,5x	5,327	3,063	25,858	5,989	7,77	 M 
154	Kontrol 2,5x	5,320	3,080	25,985	6,023	7,78	 M 
155	JP 9 5x	5,323	1,558	13,251	2,998	32,71	 M 
156	JP 9 5x	5,330	1,556	13,213	2,995	32,78	 M 
157	JP 9 ufort	5,327	7,179	59,534	14,169	35,03	 M 
158	JP 9 ufort	5,327	7,150	59,306	14,112	35,00	 M 
159	JP 10 5x	5,330	1,485	12,666	2,854	33,57	 M 
160	JP 10 5x	5,323	1,484	12,645	2,851	33,68	 M 
161	JP 10 ufort	5,327	7,357	61,062	14,524	36,46	 M 
162	JP 10 ufort	5,327	7,349	60,988	14,507	36,46	 M 
163	JP 11 5x	5,330	3,036	25,614	5,936	60,71	 M 
164	JP 11 5x	5,327	3,028	25,616	5,921	61,12	 M 
165	JP 11 ufort	5,337	14,874	123,525	29,463	64,35	 M 
166	JP 11 ufort	5,330	14,896	123,806	29,505	64,38	 M 
167	JP 12 5x	5,327	3,600	30,318	7,057	62,17	 M 
168	JP 12 5x	5,330	3,587	30,217	7,032	62,47	 M 
169	JP 12 ufort	5,343	18,222	151,007	36,117	67,15	 M 
170	JP 12 ufort	5,337	18,167	150,482	36,008	67,28	 M 
171	JP 13 5x	5,323	2,872	24,342	5,611	57,96	 M 
172	JP 13 5x	5,330	2,874	24,340	5,615	57,85	 M 
173	JP 13 ufort	5,323	14,559	120,802	28,837	60,45	 M 
174	JP 13 ufort	5,337	14,576	121,062	28,871	60,44	 M 
175	JP 14 5x	5,330	2,549	21,681	4,968	53,02	 M 
176	JP 14 5x	5,323	2,548	21,660	4,966	53,02	 M 
177	JP 14 ufort	5,337	12,990	108,160	25,718	55,32	 M 
178	JP 14 ufort	5,330	12,976	108,001	25,691	55,68	 M 
179	Kontrol 25x	5,327	2,710	22,873	5,289	7,72	 M 
180	Kontrol 25x	5,327	2,704	22,826	5,276	7,72	 M 
181	Kontrol 2,5x	5,327	3,061	25,888	5,986	7,77	 M 
182	Kontrol 2,5x	5,327	3,064	25,930	5,992	7,77	 M 
183	Vand	5,327	0,010	0,047	n.a.	7,76	 M 
184	Vand	5,313	0,008	0,039	n.a.	6,68	 M 
