Summary							
							
Sequence Details							
Name:		anion_multi_10_10_5_std			Created On:	02-nov-21 13:48:59	
29	3 F ufort	5,340	62,548	442,534	96,165	58,77	BM 
30	3 F ufort	5,343	62,617	443,336	96,270	58,81	BM 
31	3 P 5x	5,323	12,124	101,325	18,955	92,24	BM 
32	3 P 5x	5,323	12,116	101,277	18,943	92,14	BMB
33	3 P ufort	5,363	60,768	465,331	93,439	93,63	BM 
34	3 P ufort	5,360	60,823	465,048	93,524	93,64	BM 
35	F 4 5x	5,313	12,528	102,987	19,575	53,08	BM 
36	F 4 5x	5,327	12,535	102,909	19,586	52,98	BM 
37	F 4 ufort	5,337	62,017	433,517	95,352	54,65	BM 
38	F 4 ufort	5,337	63,211	441,215	97,180	54,54	BM 
39	P 4 5x	5,327	12,827	107,191	20,032	93,86	BMB
40	P 4 5x	5,330	12,793	106,936	19,981	93,82	BMB
41	P 4 ufort	5,357	63,761	484,638	98,022	95,64	BM 
42	P 4 ufort	5,360	63,853	484,197	98,164	95,82	BM 
43	F 5 5x	5,320	12,323	100,904	19,261	46,95	BM 
44	F 5 5x	5,323	12,374	101,318	19,339	46,90	BM 
45	F 5 ufort	5,337	61,245	420,800	94,170	48,71	 M 
46	F 5 ufort	5,330	61,296	421,122	94,248	48,73	 M 
47	P 5 5x	5,327	13,447	112,447	20,982	93,34	BMB
48	P 5 5x	5,330	13,516	112,914	21,087	93,34	BMB
49	P 5 ufort	5,367	67,030	502,412	103,027	95,43	BM 
50	P 5 ufort	5,367	67,552	506,475	103,827	95,24	BM 
51	F 5,5 5x	5,313	12,046	98,208	18,836	42,09	 M 
52	F 5,5 5x	5,317	12,185	99,368	19,049	42,16	 M 
53	F 5,5 ufort	5,327	60,130	405,545	92,462	43,66	 M 
54	F 5,5 ufort	5,327	59,965	405,187	92,210	43,67	BM 
55	P 5,5 5x	5,327	13,537	113,160	21,120	91,94	BM 
56	P 5,5 5x	5,327	15,035	125,405	23,413	91,66	BM 
57	P 5,5 ufort	5,367	68,625	511,911	105,469	93,38	BM 
58	P 5,5 ufort	5,370	68,889	512,822	105,875	93,39	BM 
59	F 6  5x	5,313	11,583	94,301	18,128	38,92	 M 
60	F 6 5x	5,317	11,621	94,654	18,185	39,06	 M 
61	F 6 ufort	5,320	56,005	377,260	86,146	40,36	 M 
62	F 6 ufort	5,323	64,645	421,307	99,376	40,37	BM 
63	Kontrol 25x	5,313	0,518	4,601	1,184	7,13	BMB
64	Kontrol 25x	5,313	0,536	4,761	1,213	7,36	BMB
65	Kontrol 2,5x	5,317	5,779	48,221	9,240	7,82	 M 
66	Kontrol 2,5x	5,310	5,801	48,447	9,274	7,85	 M 
67	P 6 5x	5,323	14,053	117,634	21,910	91,45	BM 
68	P 6 5x	5,327	14,041	117,330	21,891	91,49	BM 
69	P 6 ufort	5,357	70,315	520,837	108,058	93,19	BM 
70	P 6 ufort	5,367	70,783	523,585	108,774	93,17	BM 
71	F 6,5 5x	5,317	11,168	90,656	17,492	33,62	 M 
72	F 6,5 5x	5,313	11,090	90,052	17,373	33,65	 M 
73	F 6,5 ufort	5,320	56,022	367,029	86,173	35,29	 M 
74	F 6,5 ufort	5,320	55,894	366,211	85,976	35,19	 M 
75	P 6,5 5x	5,323	14,367	120,418	22,390	90,13	BM 
76	P 6,5 5x	5,323	14,353	120,424	22,369	90,12	BM 
77	P 6,5 ufort	5,367	72,094	530,366	110,782	92,67	BM 
78	P 6,5 ufort	5,363	72,171	530,430	110,900	92,61	BM 
79	F 0 5x Stu_25_10_2021 pH 10,5	5,323	12,264	101,949	19,170	65,49	BM 
80	F 0 5x	5,323	12,487	103,563	19,512	65,86	BM 
81	F 0 ufort	5,340	61,672	446,051	94,824	68,00	BM 
82	F 0 ufort	5,343	61,693	446,460	94,856	67,97	BM 
83	2,5 F 5x	5,320	12,502	103,441	19,534	59,12	BM 
84	2,5 F 5x	5,317	12,574	104,031	19,646	59,11	BM 
85	2,5 F ufort	5,340	62,749	441,017	96,472	61,38	BM 
86	2,5 F ufort	5,340	62,772	441,380	96,507	61,33	BM 
87	2,5 P 5x	5,330	11,937	100,522	18,670	93,58	BM 
88	2,5 P 5x	5,327	12,002	100,920	18,770	93,45	BM 
89	2,5 P ufort	5,363	58,779	455,953	90,393	94,51	BM 
90	2,5 P ufort	5,363	59,593	460,185	91,641	94,73	BM 
91	F 4 5x	5,317	12,548	103,284	19,605	54,13	BM 
92	F 4 5x	5,317	12,521	102,937	19,564	54,16	BM 
93	F 4 ufort	5,333	62,731	432,954	96,446	56,52	BM 
94	F 4 ufort	5,327	62,666	432,706	96,345	56,53	BM 
95	P 4 5x	5,323	12,995	109,091	20,289	93,09	BM 
96	P 4 5x	5,323	13,109	109,953	20,464	93,28	BMB
97	P 4 ufort	5,360	62,903	481,281	96,708	94,30	BM 
98	P 4 ufort	5,360	62,541	479,157	96,154	94,33	BM 
99	F 5 5x	5,317	12,357	101,419	19,313	50,62	BM 
100	F 5 5x	5,323	12,381	101,040	19,349	50,68	 M 
101	F 5 ufort	5,333	61,743	418,973	94,932	52,82	 M 
102	F 5 ufort	5,330	61,318	416,822	94,281	52,92	 M 
103	P 5 5x	5,327	13,728	114,775	21,411	91,96	 M 
104	P 5 5x	5,330	13,756	114,751	21,455	91,75	 M 
105	P 5 ufort	5,370	67,589	508,135	103,883	94,07	 M 
106	P 5 ufort	5,370	67,525	508,353	103,785	94,08	 M 
107	Kontrol 25x	5,317	0,528	4,562	1,201	7,40	 M 
108	Kontrol 25x	5,323	0,525	4,537	1,195	7,35	 M 
109	Kontrol 2,5x	5,317	5,643	46,893	9,033	7,81	 M 
110	Kontrol 2,5x	5,313	5,605	46,572	8,975	7,81	 M 
111	F 6  5x	5,323	11,721	95,425	18,339	45,32	 M 
112	F 6 5x	5,320	11,725	95,429	18,345	45,26	 M 
113	F 6 ufort	5,327	59,523	395,571	91,533	47,65	 M 
114	F 6 ufort	5,323	59,634	396,298	91,702	47,67	 M 
115	P 6 5x	5,330	14,475	120,666	22,555	91,17	 M 
116	P 6 5x	5,327	14,569	121,473	22,700	91,34	 M 
117	P 6 ufort	5,370	68,925	516,014	105,929	93,75	 M 
118	P 6 ufort	5,363	68,874	515,833	105,851	93,74	 M 
119	F 7 5x	5,313	11,109	89,389	17,402	39,08	 M 
120	F 7 5x	5,320	11,097	89,372	17,384	39,03	 M 
121	F 7 ufort	5,317	55,597	360,022	85,522	40,81	 M 
122	F 7 ufort	5,310	55,626	359,960	85,566	40,86	 M 
123	P 7 5x	5,327	14,803	123,456	23,057	91,08	 M 
124	P 7 5x	5,333	14,803	123,493	23,058	91,05	 M 
125	P 7 ufort	5,367	73,329	540,946	112,673	93,58	 M 
126	P 7 ufort	5,373	73,374	541,107	112,742	93,54	 M 
127	F 8 5x	5,317	9,719	76,985	15,274	29,34	 M 
128	F 8 5x	5,313	9,615	76,315	15,114	29,20	 M 
129	F 8 ufort	5,293	49,045	303,013	75,489	30,82	 M 
130	F 8 ufort	5,293	48,689	301,107	74,944	30,76	 M 
131	P 8 5x	5,327	15,093	125,809	23,502	89,35	 M 
132	P 8 5x	5,333	14,943	124,584	23,273	89,45	 M 
133	P 8 ufort	5,370	74,250	544,668	114,083	92,22	 M 
134	P 8 ufort	5,367	75,016	547,173	115,255	92,47	 M 
135	CS_Reservoir_A_02_11_2021 5x	5,320	4,792	40,468	7,729	15,70	 M 
136	CS_Reservoir_A  5x	5,320	4,777	40,285	7,706	15,68	 M 
137	CS_Reservoir_A ufort	5,323	24,073	187,882	37,252	16,02	 M 
138	CS_Reservoir_A ufort	5,317	24,326	189,624	37,640	16,02	 M 
139	CS_Reservoir_B 5x	5,313	5,328	45,014	8,550	16,90	 M 
140	CS_Reservoir_B 5x	5,320	5,324	44,970	8,544	16,89	 M 
141	CS_Reservoir_B ufort	5,320	26,735	209,124	41,328	17,26	 M 
142	CS_Reservoir_B ufort	5,320	26,920	210,216	41,612	17,28	 M 
143	1F NF_CS 02_11_2021 20x	5,317	1,233	10,671	2,279	15,97	 M 
144	1F 20x	5,317	1,212	10,505	2,247	15,95	 M 
145	1F 5x	5,317	5,084	42,945	8,177	16,63	 M 
146	1F 5x	5,317	5,093	42,988	8,191	16,66	 M 
147	2F 20x	5,313	1,275	11,098	2,345	16,28	 M 
148	2F 20x	5,320	1,274	11,082	2,342	16,30	 M 
149	2F 5x	5,320	5,353	45,199	8,589	16,95	 M 
150	2F 5x	5,327	5,355	45,200	8,591	16,96	 M 
151	3C 20x	5,313	1,299	11,299	2,381	16,44	 M 
152	3C 20x	5,317	1,292	11,191	2,370	16,38	 M 
153	3C 5x	5,320	5,421	45,815	8,693	17,10	 M 
154	3C 5x	5,323	5,426	45,800	8,700	17,10	 M 
155	Kontrol 25x	5,313	0,604	5,223	1,316	7,78	 M 
156	Kontrol 25x	5,313	0,600	5,203	1,310	7,76	 M 
157	Kontrol 2,5x	5,313	6,296	52,191	10,032	8,12	 M 
158	Kontrol 2,5x	5,313	6,291	52,202	10,024	8,14	 M 
159	4P 5x	5,320	4,687	39,701	7,568	15,70	 M 
160	4P 5x	5,317	4,677	39,654	7,553	15,69	 M 
161	4P ufort	5,320	23,844	190,292	36,902	16,03	 M 
162	4P ufort	5,320	24,000	191,507	37,140	16,03	 M 
163	5F 20x	5,317	1,349	11,697	2,458	16,66	 M 
164	5F 20x	5,320	1,339	11,586	2,441	16,59	 M 
165	5F 5x	5,323	5,599	47,251	8,965	17,32	 M 
166	5F 5x	5,317	5,568	46,933	8,917	17,34	 M 
167	6C 20x	5,317	1,362	11,788	2,477	16,74	 M 
168	6C 20x	5,317	1,352	11,749	2,462	16,81	 M 
169	6C 5x	5,320	5,643	47,604	9,032	17,50	 M 
170	6C 5x	5,320	5,657	47,692	9,054	17,49	 M 
171	7P 5x	5,317	4,416	37,447	7,153	15,79	 M 
172	7P 5x	5,310	4,661	39,570	7,528	15,90	 M 
173	7P ufort	5,313	22,665	181,841	35,096	16,14	 M 
174	7P ufort	5,320	23,727	189,929	36,722	16,13	 M 
175	8F 20x	5,320	1,430	12,372	2,581	17,02	 M 
176	8F 20x	5,317	1,410	12,205	2,551	17,02	 M 
177	8F 5x	5,313	5,830	49,126	9,319	17,78	 M 
178	8F 5x	5,320	5,841	49,223	9,336	17,78	 M 
179	9C 20x	5,317	1,222	10,584	2,262	16,99	 M 
180	9C 20x	5,320	1,372	11,873	2,492	17,08	 M 
181	9C 5x	5,317	5,909	49,742	9,440	17,88	 M 
182	9C 5x	5,317	5,922	49,870	9,459	17,87	 M 
183	10P 5x	5,317	5,297	44,796	8,502	16,79	 M 
184	10P 5x	5,320	5,301	44,845	8,509	16,79	 M 
185	10P ufort	5,320	24,556	195,735	37,992	17,13	 M 
186	10P ufort	5,323	24,577	195,721	38,023	17,13	 M 
187	N3 reservoir 02-11-2021 5x	5,313	6,757	56,825	10,739	53,98	 M 
188	N3 reservoir 02-11-2021 5x	5,317	7,102	59,691	11,267	54,03	 M 
189	N3 reservoir 02-11-2021 ufort	5,333	37,074	291,734	57,160	56,32	 M *
190	N3 reservoir 02-11-2021 ufort	5,340	37,000	291,808	57,046	56,27	 M *
191	Kontrol 25x	5,307	0,614	5,314	1,331	7,86	 M 
192	Kontrol 25x	5,320	0,607	5,265	1,321	7,79	 M 
193	Kontrol 2,5x	5,310	6,328	52,502	10,081	8,15	 M 
194	Kontrol 2,5x	5,310	6,307	52,347	10,048	8,14	 M 
195	Vand	5,317	0,010	0,038	0,406	4,82	 M 
196	Vand	5,317	0,004	0,023	0,397	16,64	 M 
