Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1_anioner			Created On:	04-maj-22 12:39:34	
73	Kontrol 2,5x	7,130	11,474	72,267	41,616	15,20	 M 
74	Kontrol 2,5x	7,127	11,459	72,239	41,563	15,19	 M 
75	10x 2h Feed 8A	7,173	0,113	0,938	0,821	0,67	BM 
76	10x 2h	7,167	0,113	0,942	0,821	0,66	BM 
77	5x 2h	7,137	0,263	2,280	1,361	0,79	BM 
78	5x 2h	7,137	0,265	2,318	1,366	0,79	BM 
79	10x 2h Retentate 8A	7,167	0,108	0,898	0,803	0,61	BM 
80	10x 2h	7,173	0,108	0,903	0,803	0,61	BM 
81	5x 2h	7,127	0,257	2,328	1,340	0,74	 M 
82	5x 2h	7,133	0,260	2,378	1,348	0,75	BM 
83	5x 2h Perm 8A	7,177	0,280	2,552	1,422	1,28	Ru
84	5x 2h	7,180	0,281	2,556	1,424	1,28	Ru
85	ufort 2h	7,223	1,054	5,537	4,202	1,01	 M 
86	ufort 2h	7,220	1,069	5,529	4,254	1,02	 M 
87	10x 2,5h Feed 8A	7,160	0,097	0,801	0,763	0,46	BM 
88	10x 2,5h	7,163	0,097	0,801	0,763	0,46	BM 
89	5x 2,5h	7,100	0,239	2,597	1,273	0,58	 M 
90	5x 2,5h	7,110	0,244	2,614	1,293	0,59	 M 
91	10x 2,5h Retentate 8A	7,167	0,091	0,763	0,742	0,42	 M 
92	10x 2,5h	7,160	0,095	0,768	0,758	0,44	 M 
93	5x 2,5h	7,087	0,226	2,574	1,227	0,52	 M 
94	5x 2,5h	7,087	0,227	2,575	1,229	0,53	 M 
95	5x 2,5h Perm 8A	7,170	0,301	2,458	1,497	1,24	 M 
96	5x 2,5h	7,170	0,300	2,453	1,492	1,24	 M 
97	ufort 2,5h	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
98	ufort 2,5h	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
99	10x 3h Feed 8A	7,150	0,088	0,706	0,734	0,34	 M 
100	10x 3h	7,153	0,089	0,705	0,736	0,34	 M 
101	5x 3h	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102	5x 3h	7,250	0,892	4,005	3,617	1,74	 M 
103	5x 3h Perm 8A	7,147	0,268	2,201	1,379	0,98	 M 
104	5x 3h	7,153	0,268	2,200	1,380	0,98	 M 
105	ufort 3h	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
106	ufort 3h	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
107	10x Final Feed 8A	7,150	0,090	0,711	0,738	0,33	 M 
108	10x Final	7,147	0,091	0,709	0,743	0,34	 M 
109	5x Final	7,247	0,920	4,064	3,718	1,76	 M 
110	5x Final	7,233	0,902	4,031	3,654	1,71	 M 
111	5x Final Perm 8A	7,190	0,390	3,112	1,816	1,98	 M 
112	5x Final	7,180	0,391	3,116	1,820	1,98	 M 
113	ufort Final	7,297	1,007	4,652	4,031	1,11	 M 
114	ufort Final	7,290	0,974	4,757	3,912	1,03	 M 
115	Kontrol 25x	7,203	0,975	6,980	3,918	13,41	 M 
116	Kontrol 25x	7,210	0,976	6,989	3,920	13,41	 M 
117	Kontrol 2,5x	7,127	11,496	72,520	41,693	15,19	 M 
118	Kontrol 2,5x	7,127	11,481	72,510	41,639	15,18	 M 
119	10x 0h Feed 8B	7,203	0,169	1,251	1,022	1,36	 M 
120	10x 0h	7,203	0,169	1,252	1,021	1,35	 M 
121	5x 0h	7,193	0,350	2,787	1,671	1,42	 M 
122	5x 0h	7,187	0,351	2,790	1,677	1,43	 M 
123	10x 0,5h Feed 8B	7,190	0,165	1,240	1,010	1,27	 M 
124	10x 0,5h	7,190	0,165	1,242	1,009	1,27	 M 
125	5x 0,5h	7,187	0,345	2,775	1,655	1,34	 M 
126	5x 0,5h	7,183	0,345	2,778	1,655	1,34	 M 
127	5x 0,5h Perm 8B	7,197	0,382	2,911	1,788	1,97	 M 
128	5x 0,5h	7,203	0,379	2,904	1,777	1,96	 M 
129	ufort 0,5h	7,137	2,103	17,223	7,968	2,21	 M 
130	ufort 0,5h	7,133	2,110	17,257	7,994	2,21	 M 
131	10x 1h Feed 8B	7,197	0,184	1,311	1,075	1,78	 M 
132	10x 1h	7,203	0,184	1,312	1,075	1,78	 M 
133	5x 1h	7,197	0,380	2,908	1,779	1,86	 M 
134	5x 1h	7,200	0,381	2,919	1,783	1,86	 M 
135	5x 1h Perm 8B	7,177	0,341	2,761	1,642	1,26	 M 
136	5x 1h	7,180	0,342	2,766	1,645	1,26	 M 
137	ufort 1h	7,217	1,043	5,585	4,162	0,80	 M 
138	ufort 1h	7,223	1,026	5,598	4,099	0,79	 M 
139	10x 1,5h Feed 8B	7,193	0,154	1,191	0,968	1,06	 M 
140	10x 1,5h	7,193	0,159	1,207	0,988	1,08	 M 
141	5x 1,5h	7,173	0,331	2,684	1,603	1,14	 M 
142	5x 1,5h	7,180	0,328	2,679	1,596	1,14	 M 
143	5x 1,5h Perm 8B	7,193	0,378	2,930	1,774	1,72	 M 
144	5x 1,5h	7,193	0,379	2,932	1,776	1,72	 M 
145	ufort 1,5h	7,107	2,065	21,224	7,832	1,93	 M 
146	ufort 1,5h	7,103	2,062	21,245	7,818	1,92	 M 
147	10x 2h Feed 8B	7,187	0,158	1,248	0,985	0,89	 M 
148	10x 2h	7,180	0,159	1,251	0,986	0,89	 M 
149	5x 2h	7,160	0,280	2,282	1,423	0,95	 M 
150	5x 2h	7,163	0,360	2,943	1,708	0,99	 M 
151	5x 2h Perm 8B	7,180	0,360	2,847	1,710	1,49	 M 
152	5x 2h	7,187	0,361	2,855	1,713	1,49	 M 
153	ufort 2h	7,307	1,127	4,665	4,461	0,96	 M 
154	ufort 2h	7,300	1,131	4,680	4,476	0,96	 M 
155	10x 2,5h Feed 8B	7,180	0,129	1,025	0,880	0,64	 M 
156	10x 2,5h	7,177	0,129	1,025	0,879	0,64	 M 
157	5x 2,5h	7,143	0,288	2,391	1,449	0,73	 M 
158	5x 2,5h	7,140	0,286	2,393	1,444	0,73	 M 
159	5x 2,5h Perm 8B	7,177	0,333	2,704	1,613	1,20	 M 
160	5x 2,5h	7,180	0,334	2,707	1,614	1,20	 M 
161	ufort 2,5h	7,223	1,212	5,606	4,767	0,98	 M 
162	ufort 2,5h	7,223	1,207	5,569	4,750	0,98	 M 
163	10x Final Feed 8B	7,173	0,126	1,006	0,869	0,59	 M 
164	10x Final	7,173	0,127	1,007	0,871	0,60	 M 
165	5x Final	7,143	0,279	2,370	1,417	0,68	 M 
166	5x Final	7,137	0,279	2,372	1,417	0,68	 M 
167	5x Final Perm 8B	7,197	0,367	2,851	1,735	1,71	 M 
168	5x Final	7,190	0,367	2,855	1,733	1,70	 M 
169	ufort Final	7,100	2,011	20,970	7,635	1,92	 M 
170	ufort Final	7,097	2,013	20,977	7,643	1,92	 M 
171	Kontrol 25x	7,207	1,064	7,640	4,237	13,44	 M 
172	Kontrol 25x	7,200	1,067	7,651	4,248	13,38	 M 
173	Kontrol 2,5x	7,130	11,479	72,624	41,633	15,18	 M 
174	Kontrol 2,5x	7,123	11,501	72,687	41,713	15,16	 M 
175	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
176	Vand	7,197	0,000	0,002	0,417	0,06	Ru
