Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1_anioner			Created On:	04-maj-22 12:39:34	
22	Std 100 mg/l	5,213	50,282	380,838	100,433	24,37	 M 
23	5x CS_køl_A_03_05_2022	5,190	5,744	47,475	11,595	40,31	 M 
24	5x CS_A	5,183	5,735	47,393	11,578	40,28	BM 
25	ufort CS_A	5,183	28,827	213,458	57,637	42,62	 M *
26	ufort CS_A	5,193	29,759	219,474	59,497	42,80	 M 
27	5x CS_B	5,183	4,422	36,927	8,959	11,95	 M 
28	5x CS_B	5,177	4,414	36,896	8,944	11,94	BM 
29	ufort CS_B	5,183	22,364	172,078	44,747	12,18	 M 
30	ufort CS_B	5,183	22,341	171,920	44,700	12,20	 M 
31	10x 0h Feed 8A	5,187	6,742	55,935	13,588	58,08	BM 
32	10x 0h	5,180	5,440	45,382	10,990	59,41	BM 
33	5x 0h	5,183	13,509	110,164	27,084	59,18	BM 
34	5x 0h	5,190	14,061	114,428	28,186	59,14	BM 
35	10x 0,5h Feed 8A	5,190	7,290	60,207	14,681	57,12	BM 
36	10x 0,5h	5,183	7,309	60,369	14,718	57,16	BM 
37	5x 0,5h	5,187	14,994	121,001	30,046	58,09	BM 
38	5x 0,5h	5,190	15,384	124,096	30,824	58,29	BM 
39	10x 0,5h Retentate 8A	5,187	7,330	60,544	14,760	55,83	BM 
40	10x 0,5h	5,190	7,323	60,514	14,746	55,78	BM 
41	5x 0,5h	5,187	14,753	118,956	29,565	56,78	BM 
42	5x 0,5h	5,190	14,713	118,709	29,485	56,70	BM 
43	5x 0,5h Perm 8A	5,197	20,877	171,001	41,782	83,24	BM 
44	5x 0,5h	5,203	22,288	181,888	44,595	82,99	BM 
45	ufort 0,5h	5,250	103,993	682,284	207,567	84,59	BM 
46	ufort 0,5h	5,247	104,004	682,882	207,589	84,56	BM 
47	10x 1h Feed 8A	5,187	7,359	60,853	14,818	54,28	BM 
48	10x 1h	5,183	7,370	60,937	14,840	54,19	BM 
49	5x 1h	5,183	14,589	117,745	29,238	55,15	BM 
50	5x 1h	5,187	15,693	126,134	31,440	55,23	BM 
51	10x 1h Retentate 8A	5,190	7,340	60,675	14,780	52,88	BM 
52	10x 1h	5,190	7,356	60,789	14,812	52,82	BM 
53	5x 1h	5,187	14,656	118,128	29,372	53,68	BM 
54	5x 1h	5,190	14,696	118,405	29,452	53,67	BM 
55	5x 1h Perm 8A	5,193	13,954	115,251	27,972	75,86	BM 
56	5x 1h	5,190	13,954	115,212	27,972	75,84	BM 
57	ufort 1h	5,227	69,349	495,595	138,465	77,95	BM 
58	ufort 1h	5,223	69,503	497,030	138,772	77,93	BM 
59	10x 1,5h Feed 8A	5,183	7,299	60,358	14,698	50,28	BM 
60	10x 1,5h	5,183	8,110	66,832	16,315	50,54	BM 
61	5x 1,5h	5,187	14,704	118,244	29,469	51,16	BM 
62	5x 1,5h	5,193	15,149	121,470	30,355	51,16	BM 
63	10x 1,5h Retentate 8A	5,183	7,560	62,420	15,219	48,43	BM 
64	10x 1,5h	5,187	7,564	62,394	15,227	48,45	BM 
65	5x 1,5h	5,180	14,605	117,181	29,270	49,14	BM 
66	5x 1,5h	5,187	16,322	130,139	32,696	49,42	BM 
67	5x 1,5h Perm 8A	5,193	14,798	121,965	29,656	74,51	BM 
68	5x 1,5h	5,190	14,848	122,193	29,756	74,50	BM 
69	ufort 1,5h	5,223	72,368	511,089	144,486	76,73	BM 
70	ufort 1,5h	5,230	72,302	511,014	144,354	76,74	BM 
71	Kontrol 25x	5,180	0,507	4,479	1,150	6,93	 MB
72	Kontrol 25x	5,177	0,506	4,464	1,147	6,93	 MB
73	Kontrol 2,5x	5,180	5,938	48,857	11,983	7,87	 M 
74	Kontrol 2,5x	5,177	5,943	48,926	11,993	7,88	 M 
75	10x 2h Feed 8A	5,183	7,495	61,744	15,089	44,20	BM 
76	10x 2h	5,177	7,512	61,845	15,123	44,16	BM 
77	5x 2h	5,183	15,072	119,985	30,201	45,10	BM 
78	5x 2h	5,190	15,086	120,226	30,231	45,08	BM 
79	10x 2h Retentate 8A	5,183	7,431	61,106	14,961	42,34	BM 
80	10x 2h	5,190	7,444	61,238	14,986	42,23	BM 
81	5x 2h	5,180	15,029	119,121	30,116	43,43	 M 
82	5x 2h	5,190	15,084	119,567	30,227	43,35	BM 
83	5x 2h Perm 8A	5,193	16,095	132,158	32,243	73,29	BM 
84	5x 2h	5,197	16,098	132,189	32,248	73,28	BM 
85	ufort 2h	5,230	78,886	541,708	157,487	75,23	BM 
86	ufort 2h	5,223	78,822	541,281	157,360	75,18	BM 
87	10x 2,5h Feed 8A	5,183	7,233	59,123	14,567	34,81	BM 
88	10x 2,5h	5,187	7,279	59,507	14,657	34,94	BM 
89	5x 2,5h	5,187	14,657	114,633	29,375	35,81	 M 
90	5x 2,5h	5,193	14,684	114,877	29,429	35,78	 M 
91	10x 2,5h Retentate 8A	5,190	7,153	58,365	14,406	32,82	 M 
92	10x 2,5h	5,187	7,147	58,254	14,395	32,72	 M 
93	5x 2,5h	5,187	14,438	112,466	28,938	33,56	 M 
94	5x 2,5h	5,187	14,433	112,464	28,928	33,56	 M 
95	5x 2,5h Perm 8A	5,193	16,073	131,203	32,199	66,01	 M 
96	5x 2,5h	5,193	16,049	131,064	32,150	66,15	 M 
97	ufort 2,5h	5,223	79,783	534,060	159,277	68,33	 M 
98	ufort 2,5h	5,223	79,791	533,875	159,292	68,37	 M 
99	10x 3h Feed 8A	5,183	6,629	53,570	13,362	25,38	 M 
100	10x 3h	5,187	6,627	53,529	13,358	25,42	 M 
101	5x 3h	5,187	13,359	102,180	26,786	26,06	 M 
102	5x 3h	5,183	13,343	102,291	26,753	26,00	 M 
103	5x 3h Perm 8A	5,187	15,815	127,979	31,685	57,90	 M 
104	5x 3h	5,193	15,851	127,924	31,755	57,99	 M 
105	ufort 3h	5,217	78,371	507,864	156,460	60,16	 M 
106	ufort 3h	5,217	78,403	508,153	156,524	60,18	 M 
107	10x Final Feed 8A	5,183	6,544	52,860	13,193	24,24	 M 
108	10x Final	5,180	6,542	52,765	13,187	24,32	 M 
109	5x Final	5,180	13,037	99,709	26,143	24,98	 M 
110	5x Final	5,173	13,125	100,212	26,319	24,94	 M 
111	5x Final Perm 8A	5,200	14,730	121,968	29,520	74,73	 M 
112	5x Final	5,190	14,735	122,060	29,530	74,69	 M 
113	ufort Final	5,227	69,804	498,997	139,373	76,64	 M 
114	ufort Final	5,233	72,302	513,074	144,355	76,66	 M 
115	Kontrol 25x	5,183	0,512	4,347	1,161	7,05	 M 
116	Kontrol 25x	5,190	0,512	4,345	1,160	7,03	 M 
117	Kontrol 2,5x	5,177	5,964	49,043	12,036	7,88	 M 
118	Kontrol 2,5x	5,177	5,969	49,039	12,045	7,89	 M 
119	10x 0h Feed 8B	5,197	9,599	80,482	19,285	77,15	 M 
120	10x 0h	5,197	9,609	80,583	19,306	77,09	 M 
121	5x 0h	5,203	19,250	158,760	38,536	78,16	 M 
122	5x 0h	5,200	19,250	158,939	38,535	78,13	 M 
123	10x 0,5h Feed 8B	5,187	9,793	82,037	19,673	75,08	 M 
124	10x 0,5h	5,187	9,797	82,052	19,680	75,10	 M 
125	5x 0,5h	5,203	19,636	161,967	39,305	76,15	 M 
126	5x 0,5h	5,197	19,641	161,872	39,315	76,14	 M 
127	5x 0,5h Perm 8B	5,200	16,895	140,775	33,837	87,05	 M 
128	5x 0,5h	5,203	16,892	140,630	33,833	87,31	 M 
129	ufort 0,5h	5,247	84,418	593,489	168,522	88,59	 M 
130	ufort 0,5h	5,243	84,515	593,742	168,715	88,57	 M 
131	10x 1h Feed 8B	5,187	8,819	74,142	17,730	85,34	 M 
132	10x 1h	5,193	8,825	74,238	17,741	85,37	 M 
133	5x 1h	5,200	17,755	147,682	35,553	86,77	 M 
134	5x 1h	5,203	17,774	147,996	35,592	86,75	 M 
135	5x 1h Perm 8B	5,200	20,263	166,527	40,557	74,73	 M 
136	5x 1h	5,200	20,305	166,778	40,640	74,74	 M 
137	ufort 1h	5,243	99,738	654,251	199,080	76,41	 M 
138	ufort 1h	5,247	99,732	654,301	199,068	76,40	 M 
139	10x 1,5h Feed 8B	5,193	10,405	87,050	20,894	71,45	 M 
140	10x 1,5h	5,193	10,431	87,228	20,944	70,93	 M 
141	5x 1,5h	5,200	20,877	170,894	41,780	72,01	 M 
142	5x 1,5h	5,203	20,878	170,880	41,783	72,15	 M 
143	5x 1,5h Perm 8B	5,200	18,873	156,511	37,783	85,78	 M 
144	5x 1,5h	5,200	18,852	156,511	37,743	85,73	 M 
145	ufort 1,5h	5,253	93,616	637,663	186,869	87,47	 M 
146	ufort 1,5h	5,253	93,720	637,919	187,076	87,45	 M 
147	10x 2h Feed 8B	5,193	11,648	96,990	23,373	65,63	 M 
148	10x 2h	5,187	11,652	97,134	23,381	65,60	 M 
149	5x 2h	5,190	19,525	159,948	39,085	66,23	 M 
150	5x 2h	5,207	24,170	195,545	48,349	66,29	 M 
151	5x 2h Perm 8B	5,193	20,200	167,008	40,430	83,50	 M 
152	5x 2h	5,200	20,209	167,139	40,449	83,46	 M 
153	ufort 2h	5,253	100,299	666,224	200,198	85,18	 M 
154	ufort 2h	5,247	100,304	666,964	200,209	85,19	 M 
155	10x 2,5h Feed 8B	5,197	11,034	91,521	22,148	54,93	 M 
156	10x 2,5h	5,190	11,048	91,555	22,177	54,96	 M 
157	5x 2,5h	5,197	21,961	176,469	43,944	55,84	 M 
158	5x 2,5h	5,197	21,969	176,551	43,959	55,80	 M 
159	5x 2,5h Perm 8B	5,200	21,956	180,268	43,933	79,28	 M 
160	5x 2,5h	5,207	21,963	180,268	43,946	79,27	 M 
161	ufort 2,5h	5,247	99,914	655,919	199,430	80,90	 M 
162	ufort 2,5h	5,243	99,521	654,386	198,647	80,96	 M 
163	10x Final Feed 8B	5,190	11,138	92,270	22,355	52,36	 M 
164	10x Final	5,190	11,137	92,279	22,352	52,34	 M 
165	5x Final	5,200	21,988	176,205	43,996	53,33	 M 
166	5x Final	5,193	21,977	176,261	43,976	53,34	 M 
167	5x Final Perm 8B	5,203	17,996	149,767	36,035	83,67	 M 
168	5x Final	5,200	18,001	149,757	36,044	83,67	 M 
169	ufort Final	5,247	89,407	616,447	178,473	85,40	 M 
170	ufort Final	5,243	89,533	617,092	178,724	85,38	 M 
171	Kontrol 25x	5,190	0,575	4,902	1,285	7,26	 M 
172	Kontrol 25x	5,183	0,576	4,895	1,288	7,22	 M 
173	Kontrol 2,5x	5,180	5,965	49,223	12,037	7,89	 M 
174	Kontrol 2,5x	5,173	5,972	49,228	12,050	7,87	 M 
175	Vand	5,177	0,001	0,009	0,141	1,55	Rd
176	Vand	5,170	0,001	0,009	0,141	0,27	Rd
