Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1_anioner			Created On:	04-maj-22 12:39:34	
28	5x CS_B	7,950	0,975	3,780	2,639	2,64	 M 
29	ufort CS_B	7,893	4,169	12,506	11,372	2,27	 M 
30	ufort CS_B	7,893	4,166	12,473	11,365	2,27	 M 
31	10x 0h Feed 8A	7,927	3,980	20,683	10,856	34,29	 M 
32	10x 0h	7,933	3,115	16,293	8,490	34,02	 M 
33	5x 0h	7,880	7,694	33,498	21,012	33,70	 M 
34	5x 0h	7,887	7,972	34,313	21,771	33,53	 M 
35	10x 0,5h Feed 8A	7,927	4,507	22,830	12,296	35,31	 M 
36	10x 0,5h	7,920	4,517	22,887	12,325	35,33	 M 
37	5x 0,5h	7,870	9,004	36,792	24,591	34,88	 M 
38	5x 0,5h	7,867	9,149	37,050	24,988	34,67	 M 
39	10x 0,5h Retentate 8A	7,917	4,807	24,114	13,118	36,62	 M 
40	10x 0,5h	7,923	4,814	24,100	13,135	36,66	 M 
41	5x 0,5h	7,870	9,395	38,316	25,662	36,16	 M 
42	5x 0,5h	7,870	9,389	38,232	25,645	36,18	 M 
43	5x 0,5h Perm 8A	7,937	3,070	13,095	8,367	12,24	 M 
44	5x 0,5h	7,937	3,289	13,873	8,966	12,25	 M 
45	ufort 0,5h	7,840	12,471	36,153	34,071	10,14	 M 
46	ufort 0,5h	7,837	12,491	36,291	34,126	10,16	 M 
47	10x 1h Feed 8A	7,913	5,169	25,397	14,108	38,13	 M 
48	10x 1h	7,910	5,194	25,456	14,174	38,19	 M 
49	5x 1h	7,860	9,992	39,579	27,294	37,77	 M 
50	5x 1h	7,857	10,677	40,897	29,166	37,58	 M 
51	10x 1h Retentate 8A	7,917	5,636	26,676	15,383	40,60	 M 
52	10x 1h	7,913	5,514	26,804	15,051	39,60	 M 
53	5x 1h	7,857	10,687	40,989	29,195	39,14	 M 
54	5x 1h	7,860	10,725	41,037	29,297	39,17	 M 
55	5x 1h Perm 8A	7,930	3,348	13,575	9,129	18,20	 M 
56	5x 1h	7,930	3,353	13,595	9,140	18,22	 M 
57	ufort 1h	7,830	13,366	37,175	36,518	15,02	 M 
58	ufort 1h	7,827	13,429	37,392	36,690	15,06	 M 
59	10x 1,5h Feed 8A	7,903	6,118	29,521	16,702	42,14	 M 
60	10x 1,5h	7,900	6,686	31,168	18,255	41,67	 M 
61	5x 1,5h	7,850	11,987	45,328	32,749	41,71	 M 
62	5x 1,5h	7,853	12,322	46,035	33,664	41,61	 M 
63	10x 1,5h Retentate 8A	7,893	6,771	31,587	18,488	43,38	 M 
64	10x 1,5h	7,897	6,763	31,553	18,466	43,32	 M 
65	5x 1,5h	7,837	12,772	47,259	34,897	42,97	 M 
66	5x 1,5h	7,830	14,061	49,752	38,421	42,57	 M 
67	5x 1,5h Perm 8A	7,923	3,882	15,324	10,587	19,54	BM 
68	5x 1,5h	7,923	3,899	15,350	10,633	19,56	BM 
69	ufort 1,5h	7,820	15,352	41,641	41,950	16,28	 M 
70	ufort 1,5h	7,827	15,337	41,530	41,909	16,28	 M 
71	Kontrol 25x	7,960	2,143	15,149	5,834	29,31	 M 
72	Kontrol 25x	7,957	2,131	15,180	5,799	29,22	 MB
73	Kontrol 2,5x	7,820	22,135	109,106	60,495	29,33	 M 
74	Kontrol 2,5x	7,817	22,094	108,924	60,385	29,29	 M 
75	10x 2h Feed 8A	7,883	8,035	36,170	21,944	47,38	 M 
76	10x 2h	7,880	8,054	36,186	21,994	47,34	 M 
77	5x 2h	7,823	15,763	54,286	43,072	47,16	 M 
78	5x 2h	7,820	15,783	54,451	43,128	47,17	 M 
79	10x 2h Retentate 8A	7,877	8,714	38,246	23,799	49,66	 M 
80	10x 2h	7,883	8,772	38,422	23,958	49,77	 M 
81	5x 2h	7,807	17,153	57,563	46,873	49,57	 M 
82	5x 2h	7,813	17,277	57,848	47,214	49,65	 M 
83	5x 2h Perm 8A	7,913	4,900	18,923	13,371	22,31	BM 
84	5x 2h	7,917	4,898	18,916	13,364	22,30	BM 
85	ufort 2h	7,810	16,212	51,097	44,301	15,46	 M 
86	ufort 2h	7,807	16,181	51,034	44,217	15,43	 M 
87	10x 2,5h Feed 8A	7,857	11,815	47,499	32,279	56,86	 M 
88	10x 2,5h	7,860	11,822	47,443	32,296	56,75	 M 
89	5x 2,5h	7,780	23,315	71,411	63,722	56,95	 M 
90	5x 2,5h	7,787	23,339	71,653	63,788	56,87	 M 
91	10x 2,5h Retentate 8A	7,857	13,011	52,045	35,550	59,69	 M 
92	10x 2,5h	7,853	13,008	52,080	35,541	59,55	 M 
93	5x 2,5h	7,770	25,708	76,564	70,265	59,75	 M 
94	5x 2,5h	7,767	25,717	76,526	70,290	59,80	 M 
95	5x 2,5h Perm 8A	7,897	6,319	25,881	17,251	25,95	 M 
96	5x 2,5h	7,897	6,306	25,842	17,214	25,99	 M 
97	ufort 2,5h	7,777	22,993	71,946	62,843	20,91	 M *
98	ufort 2,5h	7,783	22,727	71,706	62,116	19,48	 M *
99	10x 3h Feed 8A	7,820	17,592	64,482	48,075	67,34	 M 
100	10x 3h	7,827	17,539	64,379	47,929	67,27	 M 
101	5x 3h	7,733	34,664	94,752	94,753	67,62	 M 
102	5x 3h	7,723	34,760	94,935	95,016	67,72	 M 
103	5x 3h Perm 8A	7,863	9,290	34,391	25,375	34,01	 M 
104	5x 3h	7,870	9,292	34,393	25,381	33,99	 M 
105	ufort 3h	7,750	32,896	104,168	89,919	25,25	 M 
106	ufort 3h	7,747	32,895	104,209	89,917	25,25	 M 
107	10x Final Feed 8A	7,813	18,515	66,797	50,599	68,58	 M 
108	10x Final	7,813	18,418	66,578	50,334	68,49	 M 
109	5x Final	7,720	35,918	97,411	98,183	68,82	 M 
110	5x Final	7,713	36,366	97,907	99,406	69,11	 M 
111	5x Final Perm 8A	7,933	3,365	15,657	9,175	17,07	 M 
112	5x Final	7,923	3,371	15,676	9,192	17,09	 M 
113	ufort Final	7,830	14,983	41,369	40,941	16,45	 M 
114	ufort Final	7,830	15,512	42,407	42,388	16,45	 M 
115	Kontrol 25x	7,967	2,028	14,645	5,519	27,90	 M 
116	Kontrol 25x	7,970	2,100	14,692	5,715	28,85	 M 
117	Kontrol 2,5x	7,817	22,090	109,241	60,374	29,20	 M 
118	Kontrol 2,5x	7,817	22,071	109,242	60,320	29,18	 M 
119	10x 0h Feed 8B	7,957	1,976	10,391	5,375	15,88	 M 
120	10x 0h	7,957	1,978	10,422	5,383	15,87	 M 
121	5x 0h	7,933	3,765	17,866	10,267	15,29	 M 
122	5x 0h	7,927	3,773	17,855	10,290	15,31	 M 
123	10x 0,5h Feed 8B	7,943	2,240	11,775	6,098	17,17	 M 
124	10x 0,5h	7,943	2,243	11,792	6,106	17,19	 M 
125	5x 0,5h	7,923	4,311	20,086	11,761	16,72	 M 
126	5x 0,5h	7,920	4,318	20,090	11,780	16,74	 M 
127	5x 0,5h Perm 8B	7,953	1,221	5,350	3,311	6,29	 M 
128	5x 0,5h	7,960	1,210	5,348	3,283	6,26	 M 
129	ufort 0,5h	7,893	5,205	16,183	14,205	5,46	 M 
130	ufort 0,5h	7,893	5,223	16,194	14,254	5,47	 M 
131	10x 1h Feed 8B	7,960	0,857	3,482	2,317	8,29	 M 
132	10x 1h	7,963	0,857	3,481	2,316	8,29	 M 
133	5x 1h	7,953	1,520	6,205	4,130	7,43	 M 
134	5x 1h	7,953	1,524	6,232	4,140	7,44	 M 
135	5x 1h Perm 8B	7,910	5,117	23,158	13,965	18,87	 M 
136	5x 1h	7,910	5,126	23,149	13,989	18,87	 M 
137	ufort 1h	7,797	19,750	63,953	53,975	15,13	 M 
138	ufort 1h	7,800	19,742	64,041	53,954	15,12	 M 
139	10x 1,5h Feed 8B	7,937	3,234	16,774	8,817	22,21	 M 
140	10x 1,5h	7,937	3,273	16,867	8,923	22,26	 M 
141	5x 1,5h	7,897	6,323	27,643	17,262	21,81	 M 
142	5x 1,5h	7,903	6,315	27,655	17,241	21,83	 M 
143	5x 1,5h Perm 8B	7,947	1,716	7,520	4,664	7,80	 M 
144	5x 1,5h	7,947	1,710	7,508	4,649	7,78	 M 
145	ufort 1,5h	7,877	7,512	21,368	20,513	7,02	 M 
146	ufort 1,5h	7,873	7,527	21,386	20,555	7,02	 M 
147	10x 2h Feed 8B	7,917	4,777	23,613	13,036	26,92	 M 
148	10x 2h	7,910	4,791	23,651	13,072	26,97	 M 
149	5x 2h	7,877	7,848	33,350	21,432	26,62	 M 
150	5x 2h	7,873	9,735	38,256	26,591	26,70	 M 
151	5x 2h Perm 8B	7,930	2,307	10,121	6,282	9,54	 M 
152	5x 2h	7,933	2,314	10,147	6,301	9,56	 M 
153	ufort 2h	7,857	10,455	28,086	28,561	8,88	 M 
154	ufort 2h	7,850	10,449	28,062	28,542	8,87	 M 
155	10x 2,5h Feed 8B	7,897	7,538	35,179	20,585	37,53	 M 
156	10x 2,5h	7,890	7,534	35,221	20,572	37,48	 M 
157	5x 2,5h	7,833	14,651	53,061	40,034	37,26	 M 
158	5x 2,5h	7,833	14,700	53,087	40,168	37,34	 M 
159	5x 2,5h Perm 8B	7,917	3,937	16,541	10,738	14,21	 M 
160	5x 2,5h	7,917	3,947	16,540	10,765	14,25	 M 
161	ufort 2,5h	7,830	13,597	44,135	37,151	11,01	 M 
162	ufort 2,5h	7,830	13,534	43,697	36,979	11,01	 M 
163	10x Final Feed 8B	7,883	8,642	39,086	23,604	40,63	 M 
164	10x Final	7,883	8,638	39,058	23,593	40,60	 M 
165	5x Final	7,830	16,698	59,070	45,630	40,50	 M 
166	5x Final	7,817	16,695	59,038	45,622	40,52	 M 
167	5x Final Perm 8B	7,947	1,861	8,442	5,062	8,65	 M 
168	5x Final	7,943	1,866	8,433	5,075	8,67	 M 
169	ufort Final	7,867	8,286	23,965	22,630	7,91	 M 
170	ufort Final	7,867	8,309	24,018	22,693	7,92	 M 
171	Kontrol 25x	7,967	2,254	15,905	6,137	28,47	 MB
172	Kontrol 25x	7,957	2,287	15,909	6,226	28,66	 M 
173	Kontrol 2,5x	7,817	22,055	109,300	60,279	29,17	 M 
174	Kontrol 2,5x	7,810	22,133	109,526	60,492	29,18	 M *
175	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
176	Vand	7,897	0,242	0,166	0,634	73,73	 M 
