Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
22	Std 100 mg/l	7,043	40,315	106,634	99,994	39,20	 M 
23	5x CS_køl_A_03_05_2022	7,270	0,046	0,550	0,096	0,29	BM 
24	5x CS_A	7,393	0,231	0,718	0,555	1,46	BM 
25	ufort CS_A	7,400	0,779	2,236	1,916	0,98	 M 
26	ufort CS_A	7,403	0,682	2,107	1,676	0,86	 M 
27	5x CS_B	7,400	0,031	0,098	0,060	0,24	BMB
28	5x CS_B	7,383	0,049	0,152	0,105	0,39	BM 
29	ufort CS_B	7,340	0,400	1,106	0,974	0,62	 M 
30	ufort CS_B	7,103	0,375	0,891	0,912	0,48	 MB
31	10x 0h Feed 8A	7,397	0,050	0,157	0,106	0,52	BMB
32	10x 0h	7,400	0,114	0,358	0,267	1,20	BM 
33	5x 0h	7,403	0,432	1,341	1,055	2,16	BM 
34	5x 0h	7,393	0,398	1,243	0,971	2,03	BM 
35	10x 0,5h Feed 8A	7,437	0,184	0,558	0,440	1,36	 M *
36	10x 0,5h	7,400	0,238	0,742	0,573	1,76	BM 
37	5x 0,5h	7,400	0,596	1,738	1,461	2,27	 M *
38	5x 0,5h	7,397	0,529	1,646	1,295	2,05	BMB
39	10x 0,5h Retentate 8A	7,407	0,237	0,742	0,570	1,67	BM 
40	10x 0,5h	7,400	0,258	0,806	0,623	1,82	BM 
41	5x 0,5h	7,400	0,553	1,650	1,356	2,03	 MB*
42	5x 0,5h	7,400	0,524	1,633	1,283	1,93	BMB
43	5x 0,5h Perm 8A	7,397	0,304	0,954	0,738	1,98	BMB
44	5x 0,5h	7,093	0,001	0,018	n.a.	0,01	BM 
45	ufort 0,5h	7,373	0,699	1,852	1,716	0,95	 MB*
46	ufort 0,5h	7,400	0,656	1,821	1,611	0,89	 MB*
47	10x 1h Feed 8A	7,407	0,192	0,597	0,459	1,28	 MB
48	10x 1h	7,397	0,208	0,655	0,500	1,43	BMB
49	5x 1h	7,407	0,456	1,433	1,113	1,63	 MB
50	5x 1h	7,400	0,500	1,558	1,222	1,79	BMB
51	10x 1h Retentate 8A	7,403	0,288	0,886	0,697	1,90	BMB
52	10x 1h	7,407	0,307	0,945	0,745	2,03	BMB
53	5x 1h	7,407	0,567	1,663	1,389	1,94	 MB*
54	5x 1h	7,360	0,537	1,675	1,314	1,83	BMB
55	5x 1h Perm 8A	7,407	0,203	0,636	0,485	1,48	BM 
56	5x 1h	7,400	0,155	0,488	0,368	1,16	BM 
57	ufort 1h	7,413	0,711	1,725	1,746	1,08	 M *
58	ufort 1h	7,410	0,633	1,712	1,552	0,96	 M *
59	10x 1,5h Feed 8A	7,403	0,199	0,624	0,475	1,21	BMB
60	10x 1,5h	7,403	0,314	0,982	0,763	1,92	BMB
61	5x 1,5h	7,353	0,579	1,744	1,418	1,78	 MB*
62	5x 1,5h	7,360	0,558	1,738	1,368	1,74	 MB
63	10x 1,5h Retentate 8A	7,410	0,391	1,219	0,954	2,23	BMB
64	10x 1,5h	7,400	0,413	1,284	1,007	2,34	BMB
65	5x 1,5h	7,403	0,741	2,162	1,821	2,14	 M *
66	5x 1,5h	7,397	0,607	1,886	1,488	1,80	BMB
67	5x 1,5h Perm 8A	7,407	0,278	0,867	0,672	1,80	BMB
68	5x 1,5h	7,400	0,214	0,674	0,514	1,43	BM 
69	ufort 1,5h	7,413	0,776	1,855	1,909	1,06	 M *
70	ufort 1,5h	7,383	0,597	1,834	1,465	0,82	 M 
71	Kontrol 200x	7,390	0,437	1,364	1,067	15,30	BM 
72	Kontrol 200x	7,393	0,404	1,257	0,985	16,08	 M 
73	Kontrol 20x	7,320	4,093	12,689	10,137	17,94	 M 
74	Kontrol 20x	7,327	4,067	12,615	10,073	17,87	 M 
75	10x 2h Feed 8A	7,403	0,136	0,420	0,320	0,71	 M 
76	10x 2h	7,493	0,391	1,177	0,954	1,99	BM 
77	5x 2h	7,407	0,696	2,004	1,709	1,80	 M *
78	5x 2h	7,407	0,660	1,953	1,621	1,71	 MB*
79	10x 2h Retentate 8A	7,380	0,493	1,538	1,207	2,35	BMB
80	10x 2h	7,400	0,487	1,552	1,191	2,31	BM 
81	5x 2h	7,407	0,697	2,010	1,713	1,70	 MB*
82	5x 2h	7,407	0,649	2,017	1,593	1,58	 MB
83	5x 2h Perm 8A	7,117	0,004	0,060	n.a.	0,02	BM 
84	5x 2h	7,407	0,285	0,891	0,690	1,53	BMB
85	ufort 2h	7,410	0,863	2,059	2,124	0,98	 M *
86	ufort 2h	7,407	0,750	2,032	1,843	0,85	 M *
87	10x 2,5h Feed 8A	7,400	0,469	1,459	1,146	1,84	BMB
88	10x 2,5h	7,230	0,592	1,832	1,451	2,25	BM 
89	5x 2,5h	7,407	0,850	2,614	2,092	1,68	 M 
90	5x 2,5h	7,400	0,858	2,666	2,111	1,70	 M 
91	10x 2,5h Retentate 8A	7,397	0,681	2,103	1,672	2,46	BM 
92	10x 2,5h	7,397	0,718	2,217	1,764	2,60	BM 
93	5x 2,5h	7,407	1,023	3,113	2,520	1,89	 M 
94	5x 2,5h	7,407	1,073	3,147	2,644	1,98	 M *
95	5x 2,5h Perm 8A	7,360	0,482	1,531	1,178	2,02	BM 
96	5x 2,5h	7,377	0,447	1,393	1,093	1,87	BM 
97	ufort 2,5h	7,410	0,976	2,908	2,404	0,87	 M 
98	ufort 2,5h	7,417	0,907	2,801	2,232	0,81	 M 
99	10x 3h Feed 8A	7,400	0,756	2,333	1,859	2,24	BM 
100	10x 3h	7,403	0,908	2,796	2,236	2,68	BM 
101	5x 3h	7,403	1,454	4,137	3,589	2,18	 M *
102	5x 3h	7,407	1,380	4,222	3,407	2,08	 M 
103	5x 3h Perm 8A	7,383	0,687	2,126	1,688	2,21	BM 
104	5x 3h	7,400	0,591	1,832	1,449	1,94	BMB
105	ufort 3h	7,420	1,429	3,854	3,528	1,00	 M *
106	ufort 3h	7,417	1,340	3,743	3,306	0,93	 M *
107	10x Final Feed 8A	7,400	0,781	2,410	1,920	2,23	BM 
108	10x Final	7,403	0,945	2,907	2,327	2,71	BM 
109	5x Final	7,400	1,443	4,373	3,563	2,11	 M 
110	5x Final	7,400	1,444	4,414	3,565	2,11	 M 
111	5x Final Perm 8A	7,410	0,329	1,024	0,800	2,17	BM 
112	5x Final	7,400	0,310	0,967	0,752	2,08	BM 
113	ufort Final	7,403	0,620	1,859	1,521	0,87	 M 
114	ufort Final	7,193	0,618	1,632	1,517	0,87	 M *
115	Kontrol 200x	7,400	0,424	1,321	1,034	15,80	 M 
116	Kontrol 200x	7,400	0,404	1,254	0,984	16,11	 M 
117	Kontrol 20x	7,323	4,096	12,702	10,143	17,94	 M 
118	Kontrol 20x	7,330	4,260	12,717	10,551	17,87	 M 
119	10x 0h Feed 8B	7,313	0,018	0,056	0,029	0,25	BM 
120	10x 0h	7,397	0,045	0,137	0,096	0,61	 M 
121	5x 0h	7,407	0,137	0,429	0,322	0,89	BM 
122	5x 0h	7,337	0,141	0,447	0,333	0,92	BMB
123	10x 0,5h Feed 8B	7,377	0,086	0,267	0,197	1,03	BM 
124	10x 0,5h	7,413	0,086	0,265	0,196	1,04	BM 
125	5x 0,5h	7,413	0,156	0,489	0,370	0,94	BMB
126	5x 0,5h	7,350	0,153	0,487	0,362	0,90	BMB
127	5x 0,5h Perm 8B	7,407	0,077	0,242	0,175	0,78	BM 
128	5x 0,5h	7,380	0,071	0,219	0,159	0,72	BM 
129	ufort 0,5h	7,410	0,362	1,047	0,881	0,73	 M 
130	ufort 0,5h	7,410	0,325	1,003	0,789	0,66	 MB
131	10x 1h Feed 8B	7,400	0,032	0,101	0,063	0,59	BMB
132	10x 1h	7,403	0,037	0,112	0,074	0,68	BM 
133	5x 1h	7,403	0,073	0,228	0,165	0,68	BM 
134	5x 1h	7,410	0,072	0,224	0,162	0,67	BM 
135	5x 1h Perm 8B	7,350	0,164	0,517	0,390	0,90	BMB
136	5x 1h	7,403	0,170	0,535	0,405	0,93	BMB
137	ufort 1h	7,443	0,730	2,249	1,793	0,82	 M 
138	ufort 1h	7,407	0,692	2,149	1,701	0,78	 M 
139	10x 1,5h Feed 8B	7,403	0,116	0,365	0,270	1,11	BMB
140	10x 1,5h	7,403	0,106	0,336	0,247	1,03	BMB
141	5x 1,5h	7,403	0,198	0,624	0,475	0,97	BMB
142	5x 1,5h	7,403	0,200	0,628	0,478	0,97	BMB
143	5x 1,5h Perm 8B	7,437	0,094	0,299	0,217	0,76	BM 
144	5x 1,5h	7,343	0,086	0,269	0,197	0,70	BM 
145	ufort 1,5h	7,403	0,535	1,211	1,310	0,88	 M *
146	ufort 1,5h	7,407	0,397	1,224	0,968	0,66	 MB
147	10x 2h Feed 8B	7,403	0,127	0,400	0,297	0,96	BMB
148	10x 2h	7,340	0,140	0,443	0,331	1,05	BMB
149	5x 2h	7,403	0,266	0,833	0,642	1,12	 MB
150	5x 2h	7,410	0,268	0,840	0,648	1,12	BMB
151	5x 2h Perm 8B	7,410	0,127	0,400	0,299	0,87	BMB
152	5x 2h	7,400	0,114	0,359	0,266	0,78	BMB
153	ufort 2h	7,413	0,509	1,487	1,247	0,71	 M 
154	ufort 2h	7,407	0,568	1,479	1,391	0,79	 MB*
155	10x 2,5h Feed 8B	7,300	0,200	0,624	0,480	1,22	BMB
156	10x 2,5h	7,260	0,206	0,646	0,495	1,25	BMB
157	5x 2,5h	7,347	0,416	1,301	1,016	1,25	 MB
158	5x 2,5h	7,410	0,432	1,278	1,054	1,31	 MB*
159	5x 2,5h Perm 8B	7,407	0,184	0,576	0,439	0,94	BMB
160	5x 2,5h	7,407	0,165	0,516	0,391	0,85	BMB
161	ufort 2,5h	7,410	0,667	1,987	1,638	0,72	 M 
162	ufort 2,5h	7,413	0,728	1,993	1,789	0,79	 M *
163	10x Final Feed 8B	7,407	0,242	0,759	0,583	1,35	BMB
164	10x Final	7,327	0,234	0,733	0,564	1,31	BM 
165	5x Final	7,373	0,440	1,377	1,074	1,24	 MB
166	5x Final	7,397	0,461	1,343	1,126	1,32	 MB*
167	5x Final Perm 8B	7,403	0,116	0,365	0,272	0,94	BMB
168	5x Final	7,420	0,096	0,302	0,222	0,79	BMB
169	ufort Final	7,413	0,564	1,294	1,383	0,93	 M *
170	ufort Final	7,413	0,492	1,313	1,204	0,82	 MB*
171	Kontrol 200x	7,377	0,418	1,302	1,021	15,68	 M 
172	Kontrol 200x	7,397	0,402	1,252	0,981	16,09	 M 
173	Kontrol 20x	7,323	4,105	12,682	10,167	17,92	 M 
174	Kontrol 20x	7,330	4,104	12,678	10,165	17,88	 M 
175	Vand	7,077	0,000	0,005	n.a.	3,91	BMB
176	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
