Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
70	ufort 1,5h	9,267	1,972	4,933	7,729	2,72	 M 
71	Kontrol 200x	9,290	1,332	3,330	5,274	46,63	 MB
72	Kontrol 200x	9,293	1,240	3,115	4,924	49,37	 M 
73	Kontrol 20x	9,063	12,646	29,676	48,640	55,41	 M 
74	Kontrol 20x	9,067	8,515	29,468	32,809	37,41	 M 
75	10x 2h Feed 8A	9,323	0,223	0,565	1,025	1,17	 MB
76	10x 2h	9,267	0,786	2,073	3,184	3,99	 M 
77	5x 2h	9,290	1,920	4,806	7,531	4,97	 M 
78	5x 2h	9,290	1,942	4,890	7,615	5,03	BM *
79	10x 2h Retentate 8A	9,277	1,211	3,042	4,812	5,77	BM 
80	10x 2h	9,313	1,327	3,311	5,255	6,29	BM 
81	5x 2h	9,287	2,094	5,242	8,197	5,09	BM 
82	5x 2h	9,290	2,058	5,155	8,060	5,02	BM 
83	5x 2h Perm 8A	9,370	0,816	2,511	3,299	4,31	BM 
84	5x 2h	9,317	0,749	1,888	3,039	4,01	BM 
85	ufort 2h	9,283	2,318	5,767	9,056	2,63	 M 
86	ufort 2h	9,317	2,239	5,609	8,753	2,55	 M 
87	10x 2,5h Feed 8A	9,303	1,026	2,582	4,104	4,02	BM 
88	10x 2,5h	9,127	1,405	3,486	5,553	5,35	 M 
89	5x 2,5h	9,287	2,185	5,469	8,544	4,33	 M 
90	5x 2,5h	9,320	2,147	5,294	8,398	4,25	BM 
91	10x 2,5h Retentate 8A	9,297	1,210	3,036	4,806	4,37	 M 
92	10x 2,5h	9,300	1,192	2,992	4,739	4,32	 M 
93	5x 2,5h	9,300	1,772	4,427	6,964	3,27	 M 
94	5x 2,5h	9,300	1,711	4,287	6,728	3,16	 M 
95	5x 2,5h Perm 8A	9,243	0,717	1,816	2,919	3,01	 M 
96	5x 2,5h	9,280	0,838	2,103	3,380	3,49	 M 
97	ufort 2,5h	9,283	2,571	6,385	10,026	2,29	 M 
98	ufort 2,5h	9,290	2,492	6,233	9,721	2,23	 M 
99	10x 3h Feed 8A	9,307	1,018	2,557	4,070	3,01	 M 
100	10x 3h	9,310	1,105	2,774	4,406	3,27	 M 
101	5x 3h	9,313	1,692	4,060	6,654	2,54	 M *
102	5x 3h	9,307	1,554	3,889	6,125	2,34	 M 
103	5x 3h Perm 8A	9,290	0,941	2,369	3,776	3,03	 M 
104	5x 3h	9,303	1,138	2,860	4,533	3,74	BM 
105	ufort 3h	9,280	3,223	7,949	12,522	2,25	 M 
106	ufort 3h	9,280	3,132	7,817	12,174	2,18	 M 
107	10x Final Feed 8A	9,307	1,047	2,633	4,184	3,00	 M 
108	10x Final	9,310	1,094	2,745	4,365	3,14	 M 
109	5x Final	9,300	1,590	3,965	6,264	2,32	 M 
110	5x Final	9,303	1,529	3,821	6,029	2,23	 M 
111	5x Final Perm 8A	9,327	0,404	1,026	1,719	2,66	 M 
112	5x Final	9,313	0,635	1,600	2,603	4,25	 M 
113	ufort Final	9,270	2,750	6,842	10,710	3,86	 M 
114	ufort Final	9,063	2,795	6,884	10,882	3,94	 M 
115	Kontrol 200x	9,297	1,357	3,385	5,371	50,63	 M 
116	Kontrol 200x	9,300	1,243	3,120	4,934	49,61	 M 
117	Kontrol 20x	9,067	12,656	29,656	48,681	55,45	 M 
118	Kontrol 20x	9,110	13,491	29,712	51,880	56,59	 M 
119	10x 0h Feed 8B	9,243	0,043	0,106	0,334	0,58	 MB
120	10x 0h	9,297	0,124	0,313	0,645	1,65	 MB
121	5x 0h	9,320	0,489	1,233	2,043	3,20	 M 
122	5x 0h	9,240	0,601	1,511	2,472	3,91	BM 
123	10x 0,5h Feed 8B	9,290	0,362	0,909	1,557	4,33	 MB
124	10x 0,5h	9,330	0,383	0,966	1,639	4,62	 M 
125	5x 0,5h	9,313	0,718	1,813	2,921	4,34	BM 
126	5x 0,5h	9,240	0,724	1,825	2,946	4,29	BM 
127	5x 0,5h Perm 8B	9,323	0,377	0,950	1,615	3,78	 MB
128	5x 0,5h	9,300	0,343	0,862	1,483	3,48	 M 
129	ufort 0,5h	9,300	1,483	3,689	5,853	3,00	 M 
130	ufort 0,5h	9,303	1,447	3,627	5,715	2,93	BM 
131	10x 1h Feed 8B	9,327	0,140	0,356	0,707	2,58	BMB
132	10x 1h	9,330	0,168	0,426	0,815	3,15	 MB
133	5x 1h	9,323	0,312	0,786	1,366	2,87	 MB
134	5x 1h	9,330	0,313	0,789	1,371	2,90	 MB
135	5x 1h Perm 8B	9,260	0,715	1,799	2,909	3,90	BM 
136	5x 1h	9,310	0,813	2,044	3,287	4,45	BM 
137	ufort 1h	9,237	3,349	8,441	13,005	3,76	 M 
138	ufort 1h	9,260	3,358	8,382	13,040	3,78	 M 
139	10x 1,5h Feed 8B	9,317	0,568	1,431	2,345	5,44	BM 
140	10x 1,5h	9,320	0,567	1,430	2,343	5,50	BM 
141	5x 1,5h	9,307	0,999	2,508	3,998	4,86	BM 
142	5x 1,5h	9,303	1,031	2,588	4,122	5,02	BM 
143	5x 1,5h Perm 8B	9,310	0,505	1,279	2,104	4,07	 MB
144	5x 1,5h	9,263	0,450	1,125	1,893	3,66	 MB
145	ufort 1,5h	9,290	1,876	4,667	7,361	3,09	 M 
146	ufort 1,5h	9,290	1,862	4,692	7,307	3,07	BM *
147	10x 2h Feed 8B	9,317	0,553	1,394	2,289	4,21	BM 
148	10x 2h	9,247	0,696	1,745	2,837	5,22	BM 
149	5x 2h	9,300	1,350	3,380	5,344	5,68	BM 
150	5x 2h	9,303	1,395	3,495	5,518	5,83	BM 
151	5x 2h Perm 8B	9,320	0,665	1,668	2,718	4,52	BMB
152	5x 2h	9,310	0,584	1,471	2,407	3,98	BM 
153	ufort 2h	9,287	2,317	5,870	9,052	3,24	 M 
154	ufort 2h	9,283	2,291	5,732	8,950	3,20	BM 
155	10x 2,5h Feed 8B	9,207	0,919	2,298	3,694	5,59	BM 
156	10x 2,5h	9,173	1,083	2,669	4,321	6,56	BMB
157	5x 2,5h	9,217	2,281	5,699	8,912	6,85	BM 
158	5x 2,5h	9,287	2,282	5,712	8,918	6,95	BM *
159	5x 2,5h Perm 8B	9,310	1,013	2,537	4,053	5,20	BM 
160	5x 2,5h	9,313	0,893	2,236	3,591	4,63	BM 
161	ufort 2,5h	9,273	3,015	7,495	11,725	3,24	 M 
162	ufort 2,5h	9,277	2,982	7,429	11,598	3,23	 M 
163	10x Final Feed 8B	9,337	1,137	2,796	4,528	6,34	 M 
164	10x Final	9,247	1,258	3,105	4,991	7,02	BM 
165	5x Final	9,233	2,456	6,127	9,585	6,95	BM 
166	5x Final	9,270	2,463	6,129	9,612	7,04	BM 
167	5x Final Perm 8B	9,313	0,656	1,638	2,683	5,29	BMB
168	5x Final	9,333	0,547	1,369	2,266	4,48	BMB
169	ufort Final	9,293	2,086	5,184	8,164	3,45	 M 
170	ufort Final	9,293	2,059	5,136	8,061	3,42	BM 
171	Kontrol 200x	9,280	1,333	3,305	5,280	49,97	 M 
172	Kontrol 200x	9,313	1,260	3,115	4,998	50,37	 M 
173	Kontrol 20x	9,067	12,677	29,600	48,762	55,35	 M 
174	Kontrol 20x	9,073	12,672	29,614	48,741	55,19	 M 
175	Vand	9,260	0,003	0,006	0,181	33,19	BMB
176	Vand	9,163	0,001	0,003	0,174	8,79	BMB
