Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
25	ufort CS_A	3,107	15,603	234,187	70,744	19,68	 M 
26	ufort CS_A	3,093	16,028	231,295	72,679	20,31	 M 
27	5x CS_B	3,063	11,426	107,842	51,733	89,32	BM 
28	5x CS_B	3,057	11,256	106,273	50,958	89,26	BM 
29	ufort CS_B	3,110	15,846	230,048	71,853	24,69	BM 
30	ufort CS_B	3,027	0,000	0,004	n.a.	0,00	BMB
31	10x 0h Feed 8A	3,060	9,394	89,355	42,481	97,77	BM 
32	10x 0h	3,060	9,255	87,929	41,850	96,73	BM 
33	5x 0h	3,093	18,819	171,712	85,383	93,94	BM 
34	5x 0h	3,103	18,440	168,445	83,658	93,73	BM 
35	10x 0,5h Feed 8A	3,070	12,949	121,518	58,667	95,63	BM 
36	10x 0,5h	3,070	12,773	120,086	57,866	94,22	BM 
37	5x 0,5h	3,107	24,152	213,214	109,659	91,97	BM 
38	5x 0,5h	3,103	23,812	210,579	108,113	91,98	BM 
39	10x 0,5h Retentate 8A	3,080	13,331	125,092	60,404	93,75	BM 
40	10x 0,5h	3,070	13,184	123,717	59,737	93,07	BM 
41	5x 0,5h	3,107	24,987	219,243	113,461	91,67	BM 
42	5x 0,5h	3,107	25,009	219,520	113,561	91,77	BM 
43	5x 0,5h Perm 8A	3,073	13,396	125,619	60,699	86,95	BM 
44	5x 0,5h	3,067	13,277	124,442	60,160	86,63	BM 
45	ufort 0,5h	3,183	65,770	440,040	299,096	89,44	BM *
46	ufort 0,5h	3,190	65,694	438,746	298,750	89,58	BM *
47	10x 1h Feed 8A	3,097	13,473	125,030	61,052	90,08	BM 
48	10x 1h	3,070	13,380	125,541	60,626	91,81	BM 
49	5x 1h	3,110	25,646	224,609	116,461	91,47	BM 
50	5x 1h	3,110	25,664	224,613	116,540	91,63	BM 
51	10x 1h Retentate 8A	3,077	14,015	130,926	63,517	92,55	BM 
52	10x 1h	3,070	13,922	129,606	63,091	91,99	BM 
53	5x 1h	3,117	26,715	231,559	121,324	91,56	BM 
54	5x 1h	3,137	26,906	231,475	122,193	91,75	BM 
55	5x 1h Perm 8A	3,077	12,856	120,535	58,242	93,78	BM 
56	5x 1h	3,070	12,698	118,970	57,522	94,66	BM 
57	ufort 1h	3,190	62,591	425,800	284,626	94,93	BM *
58	ufort 1h	3,190	62,556	425,846	284,464	95,24	BM *
59	10x 1,5h Feed 8A	3,080	15,637	144,897	70,900	95,21	BM 
60	10x 1,5h	3,073	15,215	141,300	68,980	92,74	BM 
61	5x 1,5h	3,143	29,836	258,412	135,531	91,84	BM 
62	5x 1,5h	3,150	29,490	258,873	133,957	91,87	BM 
63	10x 1,5h Retentate 8A	3,080	16,020	148,469	72,643	91,43	BM 
64	10x 1,5h	3,083	16,002	147,961	72,562	90,86	BM 
65	5x 1,5h	3,130	31,675	264,739	143,901	91,56	BM 
66	5x 1,5h	3,120	31,037	260,846	140,997	91,87	BM 
67	5x 1,5h Perm 8A	3,080	14,302	133,382	64,824	92,98	BM 
68	5x 1,5h	3,073	14,053	131,333	63,692	93,74	BM 
69	ufort 1,5h	3,203	69,458	454,104	315,880	94,94	BM *
70	ufort 1,5h	3,190	69,098	454,696	314,243	95,20	BM *
71	Kontrol 200x	3,030	0,419	4,023	1,632	14,68	BM 
72	Kontrol 200x	3,030	0,257	2,477	0,892	10,21	 M 
73	Kontrol 20x	3,017	2,230	20,263	9,873	9,77	 M 
74	Kontrol 20x	3,023	2,211	20,103	9,789	9,71	 M 
75	10x 2h Feed 8A	3,087	18,580	169,722	84,294	96,96	BM 
76	10x 2h	3,093	18,304	167,688	83,037	92,98	BM 
77	5x 2h	3,140	35,563	289,917	161,598	92,07	BM 
78	5x 2h	3,140	35,543	289,334	161,506	92,11	BM 
79	10x 2h Retentate 8A	3,100	19,078	174,912	86,561	90,86	BM 
80	10x 2h	3,090	19,031	173,460	86,350	90,30	BM 
81	5x 2h	3,143	37,836	303,305	171,946	92,03	BM 
82	5x 2h	3,143	37,841	303,215	171,966	92,19	BM 
83	5x 2h Perm 8A	3,083	17,573	161,749	79,712	92,75	BM 
84	5x 2h	3,093	17,439	160,600	79,102	93,49	BM 
85	ufort 2h	3,220	83,745	506,937	380,914	95,17	 M *
86	ufort 2h	3,217	83,811	506,810	381,212	95,41	 M *
87	10x 2,5h Feed 8A	3,103	23,770	210,496	107,921	93,07	BM 
88	10x 2,5h	3,227	23,974	209,436	108,849	91,26	 M 
89	5x 2,5h	3,163	46,844	352,851	212,950	92,64	BM *
90	5x 2,5h	3,157	46,856	353,049	213,001	92,77	BM *
91	10x 2,5h Retentate 8A	3,107	25,485	222,601	115,725	92,06	BM 
92	10x 2,5h	3,107	25,371	221,406	115,207	91,96	BM 
93	5x 2,5h	3,170	50,741	372,135	230,687	93,47	BM *
94	5x 2,5h	3,170	50,737	372,034	230,666	93,66	BM *
95	5x 2,5h Perm 8A	3,100	22,394	199,634	101,658	93,90	BM 
96	5x 2,5h	3,110	22,449	198,590	101,906	93,60	 M 
97	ufort 2,5h	3,253	107,255	582,648	487,925	95,50	 M 
98	ufort 2,5h	3,260	107,046	581,842	486,976	95,70	 M *
99	10x 3h Feed 8A	3,123	31,679	265,422	143,921	93,64	BM 
100	10x 3h	3,130	31,454	263,869	142,894	92,91	BM 
101	5x 3h	3,193	62,618	425,994	284,746	94,02	BM *
102	5x 3h	3,197	62,767	426,790	285,427	94,28	BM *
103	5x 3h Perm 8A	3,123	29,097	244,460	132,168	93,70	BM 
104	5x 3h	3,117	28,350	242,873	128,768	93,22	BM 
105	ufort 3h	3,300	136,920	664,019	622,955	95,56	 M 
106	ufort 3h	3,297	137,620	665,317	626,141	95,77	 M 
107	10x Final Feed 8A	3,127	32,735	272,197	148,726	93,66	BM 
108	10x Final	3,133	32,457	270,540	147,463	93,03	BM 
109	5x Final	3,190	64,547	434,558	293,529	94,17	BM *
110	5x Final	3,193	64,766	435,521	294,525	94,35	BM *
111	5x Final Perm 8A	3,083	14,311	133,931	64,863	94,23	BM 
112	5x Final	3,073	13,863	129,954	62,827	92,83	BM 
113	ufort Final	3,190	66,941	443,777	304,426	93,88	BM *
114	ufort Final	3,140	66,712	448,448	303,384	94,06	BM *
115	Kontrol 200x	3,033	0,257	2,483	0,892	9,58	 M 
116	Kontrol 200x	3,037	0,245	2,372	0,838	9,77	 M 
117	Kontrol 20x	3,020	2,223	20,244	9,843	9,74	 M 
118	Kontrol 20x	3,020	2,218	20,199	9,818	9,30	 M 
119	10x 0h Feed 8B	3,060	7,264	70,223	32,790	98,27	BM 
120	10x 0h	3,057	7,278	69,876	32,849	97,03	BM 
121	5x 0h	3,077	14,520	135,797	65,814	94,88	BM 
122	5x 0h	3,077	14,485	136,005	65,655	94,19	BM 
123	10x 0,5h Feed 8B	3,060	7,855	75,329	35,477	93,96	BM 
124	10x 0,5h	3,063	7,766	74,409	35,072	93,65	BM 
125	5x 0,5h	3,080	15,502	144,415	70,285	93,68	BM 
126	5x 0,5h	3,113	15,826	144,721	71,760	93,81	BM 
127	5x 0,5h Perm 8B	3,063	9,448	90,174	42,727	94,71	BM 
128	5x 0,5h	3,063	9,352	89,532	42,293	95,03	BM 
129	ufort 0,5h	3,163	46,912	353,549	213,259	94,79	BM *
130	ufort 0,5h	3,160	47,116	354,300	214,186	95,16	BM *
131	10x 1h Feed 8B	3,047	5,223	50,063	23,497	95,99	BM 
132	10x 1h	3,050	5,109	49,099	22,978	95,63	BM 
133	5x 1h	3,063	10,405	98,915	47,084	95,60	BM 
134	5x 1h	3,070	10,348	98,329	46,826	95,62	BM 
135	5x 1h Perm 8B	3,103	17,239	160,547	78,194	94,12	BM 
136	5x 1h	3,083	17,108	157,943	77,594	93,60	BM 
137	ufort 1h	3,217	83,824	507,144	381,275	94,01	 M *
138	ufort 1h	3,220	83,839	507,847	381,339	94,18	 M *
139	10x 1,5h Feed 8B	3,063	9,646	91,801	43,632	92,45	BM 
140	10x 1,5h	3,063	9,551	91,073	43,200	92,71	BM 
141	5x 1,5h	3,090	19,142	174,959	86,856	93,12	BM 
142	5x 1,5h	3,090	19,111	174,693	86,715	92,96	BM 
143	5x 1,5h Perm 8B	3,077	11,707	110,871	53,009	94,31	BM 
144	5x 1,5h	3,063	11,651	110,492	52,758	94,80	BM 
145	ufort 1,5h	3,173	57,601	404,710	261,912	94,78	BM *
146	ufort 1,5h	3,173	57,651	404,523	262,137	94,98	BM *
147	10x 2h Feed 8B	3,070	12,340	116,609	55,891	93,86	BM 
148	10x 2h	3,127	12,361	115,795	55,989	92,81	BM 
149	5x 2h	3,100	21,907	196,879	99,438	92,07	BM 
150	5x 2h	3,107	22,043	197,820	100,057	91,96	BM 
151	5x 2h Perm 8B	3,080	13,775	129,598	62,426	93,70	BM 
152	5x 2h	3,090	13,821	129,615	62,634	94,30	BM 
153	ufort 2h	3,193	67,908	448,236	308,826	94,62	BM *
154	ufort 2h	3,193	67,883	448,108	308,711	94,86	BM *
155	10x 2,5h Feed 8B	3,123	15,153	142,645	68,697	92,17	BM 
156	10x 2,5h	3,070	15,066	141,721	68,303	91,29	BM 
157	5x 2,5h	3,157	30,173	253,901	137,064	90,65	BM 
158	5x 2,5h	3,127	29,773	253,669	135,246	90,63	BM 
159	5x 2,5h Perm 8B	3,090	18,095	166,487	82,086	92,85	BM 
160	5x 2,5h	3,090	18,014	165,726	81,722	93,50	BM 
161	ufort 2,5h	3,227	88,237	522,990	401,362	94,64	 M *
162	ufort 2,5h	3,230	87,473	519,882	397,884	94,79	 M *
163	10x Final Feed 8B	3,083	16,382	151,520	74,290	91,28	BM 
164	10x Final	3,087	16,250	151,131	73,689	90,65	BM 
165	5x Final	3,123	32,015	265,754	145,450	90,56	BM 
166	5x Final	3,120	31,686	265,488	143,953	90,55	BM 
167	5x Final Perm 8B	3,063	11,520	108,313	52,158	92,90	BM 
168	5x Final	3,070	11,471	107,569	51,939	93,91	BM 
169	ufort Final	3,180	57,028	401,590	259,303	94,37	BM *
170	ufort Final	3,180	57,018	401,355	259,258	94,61	BM *
171	Kontrol 200x	3,047	0,263	2,501	0,920	9,85	 M 
172	Kontrol 200x	3,030	0,237	2,283	0,805	9,50	 M 
173	Kontrol 20x	3,020	2,251	20,387	9,968	9,83	 M 
174	Kontrol 20x	3,027	2,222	20,137	9,837	9,68	 M 
175	Vand	3,030	0,004	0,036	n.a.	41,67	BM 
176	Vand	3,103	0,003	0,028	n.a.	21,91	BM 
