Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
85	ufort 2h	4,400	0,660	3,869	4,752	0,75	 M *
86	ufort 2h	4,400	0,629	3,830	4,534	0,72	 M *
87	10x 2,5h Feed 8A	4,390	0,192	1,147	1,472	0,75	 MB
88	10x 2,5h	4,440	0,189	1,202	1,453	0,72	 M 
89	5x 2,5h	4,400	0,395	2,358	2,894	0,78	 M *
90	5x 2,5h	4,393	0,381	2,330	2,801	0,76	 M *
91	10x 2,5h Retentate 8A	4,390	0,215	1,263	1,636	0,78	 MB
92	10x 2,5h	4,390	0,214	1,224	1,626	0,77	 MB
93	5x 2,5h	4,400	0,423	2,564	3,096	0,78	 M *
94	5x 2,5h	4,400	0,421	2,534	3,077	0,78	 M *
95	5x 2,5h Perm 8A	4,427	0,163	0,982	1,269	0,68	 M 
96	5x 2,5h	4,410	0,158	0,975	1,235	0,66	 M 
97	ufort 2,5h	4,403	0,878	5,130	6,284	0,78	 M 
98	ufort 2,5h	4,410	0,845	5,075	6,049	0,76	 M 
99	10x 3h Feed 8A	4,393	0,267	1,580	1,996	0,79	 MB
100	10x 3h	4,400	0,270	1,560	2,020	0,80	 MB
101	5x 3h	4,403	0,539	3,242	3,905	0,81	 M *
102	5x 3h	4,403	0,520	3,214	3,771	0,78	 M *
103	5x 3h Perm 8A	4,407	0,216	1,297	1,640	0,69	 M 
104	5x 3h	4,393	0,231	1,298	1,744	0,76	 MB
105	ufort 3h	4,417	1,163	6,762	8,281	0,81	 M *
106	ufort 3h	4,413	1,081	6,727	7,703	0,75	 M *
107	10x Final Feed 8A	4,393	0,273	1,628	2,040	0,78	 MB
108	10x Final	4,400	0,277	1,610	2,070	0,79	 MB
109	5x Final	4,397	0,570	3,426	4,123	0,83	 M *
110	5x Final	4,400	0,555	3,329	4,018	0,81	 M *
111	5x Final Perm 8A	4,397	0,100	0,593	0,827	0,66	 MB
112	5x Final	4,390	0,088	0,563	0,749	0,59	 MB
113	ufort Final	4,397	0,551	3,111	3,990	0,77	 M 
114	ufort Final	4,330	0,511	3,050	3,709	0,72	 M *
115	Kontrol 200x	4,387	0,191	1,340	1,465	7,12	 M 
116	Kontrol 200x	4,393	0,156	1,104	1,219	6,21	 M 
117	Kontrol 20x	4,360	1,469	9,964	10,421	6,44	 M 
118	Kontrol 20x	4,360	1,465	9,958	10,392	6,14	 M 
119	10x 0h Feed 8B	4,387	0,038	0,252	0,398	0,52	 MB
120	10x 0h	4,397	0,041	0,267	0,414	0,54	 MB
121	5x 0h	4,393	0,096	0,620	0,803	0,63	 MB*
122	5x 0h	4,390	0,097	0,630	0,812	0,63	 MB*
123	10x 0,5h Feed 8B	4,390	0,043	0,291	0,428	0,51	 MB
124	10x 0,5h	4,400	0,042	0,286	0,421	0,50	 MB
125	5x 0,5h	4,393	0,108	0,648	0,889	0,66	 M *
126	5x 0,5h	4,447	0,108	0,652	0,882	0,64	 M *
127	5x 0,5h Perm 8B	4,393	0,052	0,346	0,496	0,52	 MB
128	5x 0,5h	4,387	0,053	0,352	0,504	0,54	 MB
129	ufort 0,5h	4,400	0,383	2,163	2,812	0,78	 M *
130	ufort 0,5h	4,400	0,349	2,072	2,572	0,70	 M *
131	10x 1h Feed 8B	4,393	0,031	0,188	0,348	0,58	 MB
132	10x 1h	4,393	0,024	0,170	0,294	0,44	BMB
133	5x 1h	4,393	0,065	0,412	0,584	0,60	 MB
134	5x 1h	4,397	0,062	0,394	0,562	0,57	 MB
135	5x 1h Perm 8B	4,400	0,134	0,748	1,065	0,73	 MB
136	5x 1h	4,390	0,125	0,736	1,006	0,69	 MB
137	ufort 1h	4,400	0,685	3,974	4,927	0,77	 M *
138	ufort 1h	4,400	0,666	3,946	4,793	0,75	 M *
139	10x 1,5h Feed 8B	4,393	0,072	0,418	0,634	0,69	 MB
140	10x 1,5h	4,393	0,056	0,375	0,522	0,54	 MB
141	5x 1,5h	4,390	0,130	0,827	1,041	0,63	 MB*
142	5x 1,5h	4,393	0,126	0,820	1,009	0,61	 MB*
143	5x 1,5h Perm 8B	4,400	0,072	0,455	0,633	0,58	 MB
144	5x 1,5h	4,380	0,072	0,456	0,636	0,59	 MB
145	ufort 1,5h	4,393	0,474	2,620	3,448	0,78	 M *
146	ufort 1,5h	4,393	0,441	2,592	3,217	0,73	 M *
147	10x 2h Feed 8B	4,390	0,088	0,532	0,746	0,67	 MB
148	10x 2h	4,423	0,082	0,532	0,704	0,62	 M 
149	5x 2h	4,393	0,168	1,009	1,303	0,70	 M *
150	5x 2h	4,397	0,147	0,974	1,158	0,61	 MB*
151	5x 2h Perm 8B	4,397	0,093	0,575	0,784	0,64	 MB
152	5x 2h	4,407	0,095	0,588	0,792	0,65	 MB
153	ufort 2h	4,397	0,548	3,175	3,967	0,76	 M *
154	ufort 2h	4,397	0,516	3,114	3,746	0,72	 M *
155	10x 2,5h Feed 8B	4,413	0,114	0,676	0,931	0,70	 MB
156	10x 2,5h	4,367	0,108	0,673	0,883	0,65	 MB
157	5x 2,5h	4,420	0,259	1,446	1,942	0,78	 M 
158	5x 2,5h	4,400	0,239	1,409	1,807	0,73	 M *
159	5x 2,5h Perm 8B	4,393	0,135	0,796	1,075	0,69	 MB
160	5x 2,5h	4,393	0,134	0,786	1,066	0,69	 MB
161	ufort 2,5h	4,400	0,722	4,192	5,188	0,78	 M *
162	ufort 2,5h	4,407	0,699	4,111	5,028	0,76	 M *
163	10x Final Feed 8B	4,390	0,127	0,743	1,021	0,71	 MB
164	10x Final	4,387	0,116	0,724	0,944	0,65	 MB
165	5x Final	4,423	0,259	1,527	1,945	0,73	 M *
166	5x Final	4,387	0,253	1,506	1,904	0,72	 M *
167	5x Final Perm 8B	4,390	0,076	0,471	0,664	0,62	 MB
168	5x Final	4,397	0,072	0,454	0,634	0,59	 MB
169	ufort Final	4,400	0,460	2,581	3,353	0,76	 M *
170	ufort Final	4,400	0,439	2,541	3,207	0,73	 M *
171	Kontrol 200x	4,410	0,180	1,241	1,390	6,75	 M 
172	Kontrol 200x	4,387	0,153	1,078	1,204	6,13	 M 
173	Kontrol 20x	4,360	1,476	9,918	10,467	6,44	 M 
174	Kontrol 20x	4,367	1,468	9,906	10,417	6,39	 M 
175	Vand	4,400	0,000	0,001	0,130	1,05	BMB
176	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
